task_id,task_name,activity_key,language_instruction,rooms,duration_sec,video,challenge_page,knowledgebase
16,Moving Boxes To Storage,moving_boxes_to_storage,"Move the two storage containers from the living room to the garage. In the garage, place one container on the floor and stack the other container on top of it (either order is fine).","living room, garage",487,https://player.vimeo.com/video/1114058315,https://behavior.stanford.edu/challenge/tasks/16_moving_boxes_to_storage.html,https://behavior.stanford.edu/knowledgebase/tasks/moving_boxes_to_storage-0.html
17,Bringing Water,bringing_water,"Retrieve the two bottles from the refrigerator in the kitchen, bring them to the living room, and place both on the coffee table. Make sure the refrigerator is closed when you finish.","living room, kitchen",315,https://player.vimeo.com/video/1114058418,https://behavior.stanford.edu/challenge/tasks/17_bringing_water.html,https://behavior.stanford.edu/knowledgebase/tasks/bringing_water-0.html
18,Tidying Bedroom,tidying_bedroom,"In the bedroom, move the book from the bed onto either nightstand, and place the two sandals side by side next to the bed.",bedroom,368,https://player.vimeo.com/video/1114058519,https://behavior.stanford.edu/challenge/tasks/18_tidying_bedroom.html,https://behavior.stanford.edu/knowledgebase/tasks/tidying_bedroom-0.html
19,Outfit A Basic Toolbox,outfit_a_basic_toolbox,"In the utility room, put the drill, pliers, flashlight, Allen wrench, and screwdriver from the tabletop into the toolbox, keep the toolbox on the tabletop, and close the toolbox.",utility room,355,https://player.vimeo.com/video/1114058641,https://behavior.stanford.edu/challenge/tasks/19_outfit_a_basic_toolbox.html,https://behavior.stanford.edu/knowledgebase/tasks/outfit_a_basic_toolbox-0.html
20,Sorting Vegetables,sorting_vegetables,Sort the vegetables from the two wicker baskets on the kitchen floor into the mixing bowls on the kitchen countertop: put all three bok choy and all three Vidalia onions together into one mixing bowl; put both leeks and both broccoli together into a second mixing bowl; and put all three sweet corn into a third mixing bowl.,kitchen,397,https://player.vimeo.com/video/1114058741,https://behavior.stanford.edu/challenge/tasks/20_sorting_vegetables.html,https://behavior.stanford.edu/knowledgebase/tasks/sorting_vegetables-0.html
21,Collecting Children's Toys,collecting_childrens_toys,"Pick up the two dice from the bed, the two teddy bears from the floor, and the two board games (one from the desk and one from the bed), and place them all inside the same bookcase in the child’s room.",childs room,640,https://player.vimeo.com/video/1114058872,https://behavior.stanford.edu/challenge/tasks/21_collecting_childrens_toys.html,https://behavior.stanford.edu/knowledgebase/tasks/collecting_childrens_toys-0.html
22,Putting Shoes On Rack,putting_shoes_on_rack,"Pick up the two gym shoes and the two sandals from the corridor floor and place them onto the hallstand (shoe rack) in the corridor, making sure they are on the rack and not on the floor. Arrange them so the two gym shoes are next to each other and the two sandals are next to each other.",corridor,258,https://player.vimeo.com/video/1114058985,https://behavior.stanford.edu/challenge/tasks/22_putting_shoes_on_rack.html,https://behavior.stanford.edu/knowledgebase/tasks/putting_shoes_on_rack-0.html
23,Boxing Books Up for Storage,boxing_books_up_for_storage,Put all six books from the bookcases in the living room into the box on the living room floor.,living room,808,https://player.vimeo.com/video/1114059113,https://behavior.stanford.edu/challenge/tasks/23_boxing_books_up_for_storage.html,https://behavior.stanford.edu/knowledgebase/tasks/boxing_books_up_for_storage-0.html
24,Storing Food,storing_food,"Put away all the food on the kitchen countertop by storing it inside the kitchen cabinets: move the two boxes of oatmeal, two bags of chips, two bottles of olive oil, and two jars of sugar from the countertop into the kitchen cabinets (each item can go into either cabinet).",kitchen,662,https://player.vimeo.com/video/1114059272,https://behavior.stanford.edu/challenge/tasks/24_storing_food.html,https://behavior.stanford.edu/knowledgebase/tasks/storing_food-0.html
25,Clearing Food from Table into Fridge,clearing_food_from_table_into_fridge,"Pack the half chicken and the half apple pie from the plates on the breakfast table into the two tupperware containers from the countertop, then put both tupperware containers inside the refrigerator in the kitchen and make sure the refrigerator is closed at the end.",kitchen,436,https://player.vimeo.com/video/1114059394,https://behavior.stanford.edu/challenge/tasks/25_clearing_food_from_table_into_fridge.html,https://behavior.stanford.edu/knowledgebase/tasks/clearing_food_from_table_into_fridge-0.html
26,Assembling Gift Baskets,assembling_gift_baskets,"Place one candle, one butter cookie, one piece of Swiss cheese, and one bow from the table into each of the four wicker baskets on the floor in the living room.",living room,869,https://player.vimeo.com/video/1114059476,https://behavior.stanford.edu/challenge/tasks/26_assembling_gift_baskets.html,https://behavior.stanford.edu/knowledgebase/tasks/assembling_gift_baskets-0.html
27,Sorting Household Items,sorting_household_items,"From the two baskets on the bedroom floor, take out the items and organize them in the bathroom: place both detergent bottles under the bathroom sink next to each other; put the box of sanitary napkins on the bathroom shelf; set the soap dispenser on the sink; make sure the cup remains on the sink; put both the toothpaste tube and the toothbrush inside the cup.","bedroom, bathroom",527,https://player.vimeo.com/video/1114059574,https://behavior.stanford.edu/challenge/tasks/27_sorting_household_items.html,https://behavior.stanford.edu/knowledgebase/tasks/sorting_household_items-0.html
28,Getting Organized For Work,getting_organized_for_work,"In the bedroom, organize the workspace by keeping the computer under the desk, ensuring the monitor is on the desk, placing the keyboard on the desk next to the monitor, placing the mouse on the desk next to the keyboard, moving the folder from the swivel chair onto the desk next to the mouse, stacking the notebook on top of the folder with the pen on top of the notebook, and positioning the swivel chair next to the desk.",bedroom,522,https://player.vimeo.com/video/1114059683,https://behavior.stanford.edu/challenge/tasks/28_getting_organized_for_work.html,https://behavior.stanford.edu/knowledgebase/tasks/getting_organized_for_work-0.html
29,Clean Up Your Desk,clean_up_your_desk,"In the child’s room, clean up the desk: put both folders and both paperback books into the bookcase; put the pencil and both pens into the pencil case and leave the case on the desk; take the stapler out of the bookcase and place it on the desk; move the laptop from the bed onto the desk and close it.",childs room,714,https://player.vimeo.com/video/1114059839,https://behavior.stanford.edu/challenge/tasks/29_clean_up_your_desk.html,https://behavior.stanford.edu/knowledgebase/tasks/clean_up_your_desk-0.html
30,Setting The Fire,setting_the_fire,"In the living room, place the newspaper from the table into the wood fireplace, then put both pieces of firewood from the floor on top of the newspaper. Use the cigar lighter to ignite any one of the items so that the whole pile catches fire, and then turn the lighter off.",living room,304,https://player.vimeo.com/video/1114059945,https://behavior.stanford.edu/challenge/tasks/30_setting_the_fire.html,https://behavior.stanford.edu/knowledgebase/tasks/setting_the_fire-0.html
31,Clean Boxing Gloves,clean_boxing_gloves,Wash the two dusty boxing gloves from the countertop in the utility room in the washer until they are no longer covered with dust.,utility room,275,https://player.vimeo.com/video/1114060008,https://behavior.stanford.edu/challenge/tasks/31_clean_boxing_gloves.html,https://behavior.stanford.edu/knowledgebase/tasks/clean_boxing_gloves-0.html
32,Wash A Baseball Cap,wash_a_baseball_cap,Wash the two baseball caps on the countertop in the utility room using the washer until they are no longer dirty.,utility room,278,https://player.vimeo.com/video/1114060147,https://behavior.stanford.edu/challenge/tasks/32_wash_a_baseball_cap.html,https://behavior.stanford.edu/knowledgebase/tasks/wash_a_baseball_cap-0.html
33,Wash Dog Toys,wash_dog_toys,"In the utility room, take the two teddy toys, the tennis ball, and the softball out of the cabinet and wash them in the washer so that both teddies are free of dirt and dust, the tennis ball has no debris, and the softball has no dirt.",utility room,374,https://player.vimeo.com/video/1114060219,https://behavior.stanford.edu/challenge/tasks/33_wash_dog_toys.html,https://behavior.stanford.edu/knowledgebase/tasks/wash_dog_toys-0.html
34,Hanging Pictures,hanging_pictures,Pick up the poster from the kitchen countertop and hang it on one of the wall nails in the kitchen.,kitchen,80,https://player.vimeo.com/video/1114060330,https://behavior.stanford.edu/challenge/tasks/34_hanging_pictures.html,https://behavior.stanford.edu/knowledgebase/tasks/hanging_pictures-0.html
35,Attach a Camera to a Tripod,attach_a_camera_to_a_tripod,Attach the digital camera to the camera tripod in the bedroom.,bedroom,130,https://player.vimeo.com/video/1114060393,https://behavior.stanford.edu/challenge/tasks/35_attach_a_camera_to_a_tripod.html,https://behavior.stanford.edu/knowledgebase/tasks/attach_a_camera_to_a_tripod-0.html
36,Clean a Patio,clean_a_patio,Pick up the broom in the garden and sweep the mud off the patio floor until the floor is no longer covered in mud.,garden,402,https://player.vimeo.com/video/1114060492,https://behavior.stanford.edu/challenge/tasks/36_clean_a_patio.html,https://behavior.stanford.edu/knowledgebase/tasks/clean_a_patio-0.html
37,Clean a Trumpet,clean_a_trumpet,"In the bedroom, pick up the scrub brush from the desk and scrub the cornet (trumpet) on the desk until it’s no longer covered in dust.",bedroom,177,https://player.vimeo.com/video/1114060606,https://behavior.stanford.edu/challenge/tasks/37_clean_a_trumpet.html,https://behavior.stanford.edu/knowledgebase/tasks/clean_a_trumpet-0.html
38,Spraying For Bugs,spraying_for_bugs,Pick up the pesticide atomizer in the garden and spray insectifuge to fully cover both potted plants in the garden.,garden,216,https://player.vimeo.com/video/1114060681,https://behavior.stanford.edu/challenge/tasks/38_spraying_for_bugs.html,https://behavior.stanford.edu/knowledgebase/tasks/spraying_for_bugs-0.html
39,Spraying Fruit Trees,spraying_fruit_trees,"In the garden, pick up the pesticide atomizer on the floor and spray pesticide onto both trees until each tree trunk is fully covered.",garden,278,https://player.vimeo.com/video/1114060748,https://behavior.stanford.edu/challenge/tasks/39_spraying_fruit_trees.html,https://behavior.stanford.edu/knowledgebase/tasks/spraying_fruit_trees-0.html
40,Make Microwave Popcorn,make_microwave_popcorn,"In the kitchen, take the popcorn bag from the countertop, put it into the microwave, and heat it until the popcorn is cooked so the cooked popcorn ends up inside the bag.",kitchen,108,https://player.vimeo.com/video/1114060842,https://behavior.stanford.edu/challenge/tasks/40_make_microwave_popcorn.html,https://behavior.stanford.edu/knowledgebase/tasks/make_microwave_popcorn-0.html
41,Cook Cabbage,cook_cabbage,"From the kitchen refrigerator, take the cabbage and the chili, dice them on the chopping board with the knife, cook the diced cabbage and diced chili in the frying pan on the stove, and leave the cooked, diced cabbage and cooked, diced chili in the frying pan.",kitchen,471,https://player.vimeo.com/video/1114060935,https://behavior.stanford.edu/challenge/tasks/41_cook_cabbage.html,https://behavior.stanford.edu/knowledgebase/tasks/cook_cabbage-0.html
42,Chop an Onion,chop_an_onion,"In the kitchen, take the Vidalia onion out of the sink, dice it on the chopping board with the paring knife, put the diced onion into the bowl on the countertop, then place both the paring knife and the chopping board into the sink.",kitchen,213,https://player.vimeo.com/video/1114061062,https://behavior.stanford.edu/challenge/tasks/42_chop_an_onion.html,https://behavior.stanford.edu/knowledgebase/tasks/chop_an_onion-0.html
43,Slicing Vegetables,slicing_vegetables,"From the refrigerator in the kitchen, take out the two bell peppers, the two beets, and the zucchini. Then, on either chopping board on the countertop, use the parer to dice all of them so that only diced bell pepper, diced beet, and diced zucchini remain. Make sure the refrigerator is closed when you finish.",kitchen,495,https://player.vimeo.com/video/1114061183,https://behavior.stanford.edu/challenge/tasks/43_slicing_vegetables.html,https://behavior.stanford.edu/knowledgebase/tasks/slicing_vegetables-0.html
44,Chopping Wood,chopping_wood,Chop the four logs on the driveway in the garden into eight half logs using the axe and the chopping block.,garden,358,https://player.vimeo.com/video/1114061262,https://behavior.stanford.edu/challenge/tasks/44_chopping_wood.html,https://behavior.stanford.edu/knowledgebase/tasks/chopping_wood-0.html
45,Cook Hot Dogs,cook_hot_dogs,Take the two hot dogs out of the refrigerator in the kitchen and cook them in the microwave until both are cooked.,kitchen,305,https://player.vimeo.com/video/1114061371,https://behavior.stanford.edu/challenge/tasks/45_cook_hot_dogs.html,https://behavior.stanford.edu/knowledgebase/tasks/cook_hot_dogs-0.html
46,Cook Bacon,cook_bacon,"Take the tray with six slices of bacon out of the refrigerator in the kitchen, cook all six slices in the frying pan on the stove until they’re cooked, and make sure the refrigerator is closed when you’re done.",kitchen,256,https://player.vimeo.com/video/1114061497,https://behavior.stanford.edu/challenge/tasks/46_cook_bacon.html,https://behavior.stanford.edu/knowledgebase/tasks/cook_bacon-0.html
47,Freeze Pies,freeze_pies,"In the kitchen, take the two apple pies from the plates on the countertop, put each pie into a separate tupperware container taken from the cabinet, place both tupperwares inside the refrigerator, close the refrigerator, and leave them until the pies are frozen.",kitchen,415,https://player.vimeo.com/video/1114061625,https://behavior.stanford.edu/challenge/tasks/47_freeze_pies.html,https://behavior.stanford.edu/knowledgebase/tasks/freeze_pies-0.html
48,Canning Food,canning_food,"In the kitchen, open the refrigerator and the cabinet. Take the steak and the pineapple out of the refrigerator and take two bowls from the cabinet. On the chopping board on the countertop, use the carving knife to dice the steak and to dice the pineapple. Put only the diced steak into one bowl and only the diced pineapple into the other bowl - do not mix them. Place both bowls back inside the cabinet, then close the refrigerator and close the cabinet.",kitchen,766,https://player.vimeo.com/video/1114061821,https://behavior.stanford.edu/challenge/tasks/48_canning_food.html,https://behavior.stanford.edu/knowledgebase/tasks/canning_food-0.html
49,Make Pizza,make_pizza,"Make a pizza on the cookie sheet in the kitchen: take the grated cheese, the four pieces of pepperoni, and the two mushrooms from their tupperware containers in the refrigerator; chop the Vidalia onion on the chopping board with the knife, and also chop the two whole mushrooms in half; top the pizza dough that’s already on the cookie sheet with the cheese, pepperoni, halved mushrooms, and chopped onion; bake it in the oven until it becomes a pizza, and leave the finished pizza on the cookie sheet.",kitchen,640,https://player.vimeo.com/video/1114061917,https://behavior.stanford.edu/challenge/tasks/49_make_pizza.html,https://behavior.stanford.edu/knowledgebase/tasks/make_pizza-0.html
