task_class,file,scene_usda,difficulty,num_subtasks,episode_s,attributes,competency_axes,instr_default,instr_vague,instr_specific
BlocksInBinTask,blocks_in_bin.py,toys_cleanup.usda,complex,4,150,sorting,uncategorized,Sort all colored blocks into the bin,Put away the colored blocks,Put away the solidly-colored wooden blocks from the table and place them all into the bin
BlockStackingOrderAgnosticTask,block_stacking_order_agnostic_task.py,colored_blocks.usda,complex,3,90,stacking,procedural,Stack the blocks into a tower,Build a tower,"Pick up the colored blocks and stack them vertically on top of each other, forming one tower"
BlockStackingSpecifiedOrderTask,block_stacking_specified_order_task.py,colored_blocks.usda,complex,3,90,stacking;color,procedural;visual,"Stack the blocks in the order from bottom to top: red, blue, green, yellow","Stack in the order of red, blue, green, yellow","Build a tower by placing the red block first, then the blue block on top, then the green, and finally the yellow block on top as a single tower"
BowlInBinTask,bowl_in_bin_task.py,bin_mug_mustard_marker_bowl.usda,simple,1,60,,uncategorized,put the bowl in the grey bin,put away bowl,Pick up the bowl from the table and place it inside the grey bin
BowlStackingLeftOnRightTask,bowl_stacking_left_on_right.py,bowls_2_table.usda,simple,1,20,spatial,relational,Stack the left bowl on the right bowl,Stack the left bowl on the right,Pick up the bowl to the left of the robot and place it on top of the bowl to the right of the robot
BowlStackingRightOnLeftTask,bowl_stacking_right_on_left.py,bowls_2_table.usda,simple,1,20,spatial,relational,Stack the right bowl on the left bowl,Stack the right bowl on the left,Pick up the bowl to the right of the robot and place it on top of the bowl to the left of the robot
ButterAboveRaisinTask,butter_above_raisin_task.py,butter_raisin_box.usda,simple,1,40,spatial,relational,Pick up the butter box and place it on top of the raisin box,Put butter on raisin box,Place the butter on top of the raisin box. The butter should end up on the raisin box.
CannedFoodInBinTask,canned_food_in_bin_task.py,bin_condiments.usda,simple,1,60,semantics,visual,Put the canned food in the grey bin,Put away cans,Put the small canned tuna in the grey bin
ClampInRightBinTask,clamp_in_right_bin.py,tools_container.usda,simple,1,60,semantics;spatial,relational;visual,Put the spring clamp in the right bin,Put the clamp in the right bin,Pick up the spring clamp from the table and place it in the bin on the right side
CleanUpToysTask,clean_up_toys.py,toys_cleanup.usda,complex,9,300,sorting;semantics,visual,Clean up all the smaller toys and leave the birdhouse on the table,Clean up everything except the birdhouse,"Pick up every toy object (rubiks cube, lizard figurines, colored blocks) from the table and place them all into the bin. Please ignore the birdhouse and don't touch it."
ClearOrganicObjectsTask,clutter_organic_objects_task.py,clutter_fruit_bottle_bluebin.usda,complex,11,240,semantics,visual,Clear away the organic objects,Put away all the food items,"Identify every organic fruits and vegetables (lemon, lime, orange, pomegranate, pumpkin, red onion, avocado) on the table and place each into the bin"
ClutterPlasticTask,clutter_plastic_task.py,clutter_fruit_bottle_bluebin.usda,moderate,3,180,semantics,visual,Put all plastic bottles away in the bin,Clean up all the bottles,"Pick up all three plastic bottles (milk jug, utility jug, and plastic bottle) from the table and place them into the bin"
ClutterPumpkinTask,clutter_pumpkin_task.py,clutter_fruit_bottle_bluebin.usda,simple,2,90,semantics,visual,Put all the pumpkins away in the bin,Clean up pumpkins,Pick up the big and small pumpkins from the table and place them all into the bin
CoffeePotInBinTask,coffee_pot_in_bin.py,bin_condiments.usda,simple,1,60,semantics,visual,Put the coffee pot in the grey bin,Put away the coffee pot,Pick up the black speckled coffee pot and place it inside the grey bin
CondimentsInBinTask,condiments_in_bin_task.py,bin_condiments.usda,complex,4,180,semantics;sorting,visual,Sort the sauce condiments into the grey bin,Put the sauces away,Pick up each sauce condiment bottle from the table and place it into the grey bin
CookingClearPlateTask,cooking_clear_plate_specific.py,cooking_table.usda,moderate,2,180,color;sorting,visual,Put the two measuring cups outside of the plate,Clear the plate,Pick up the orange measuring cup and the blue measuring cup from the plate and place each on the table surface
CookingPickPastaToolTask,cooking_pick_pasta_tool.py,cooking_table.usda,simple,1,60,spatial;vague;color,relational;visual,Move the pink tool from this utensil container to the other utensil holder,Move the pink tool over to the other container,Remove the pink pasta tool from its current utensil container and place it in the other utensil holder
CubesAndBlocksInBinTask,cubes_and_blocks_in_bin.py,toys_cleanup.usda,complex,7,240,sorting;conjunction,relational,Put all the cubes and blocks in the bin,Put blocks away,Pick up every solid-colored cube and rubiks cubes from the table and place them all into the bin
DishesInBinTask,dishes_in_bin.py,mugs2_bananas2_ketchup_rubiks3_bin.usda,moderate,3,180,vague;semantics,visual,Put the dishware in the grey bin,Put away dishes,Pick up the two mugs and a bowl from the table and place them into the grey bin
ElectronicsInBinTask,electronics_in_bin_task.py,workdesk_bin.usda,complex,4,180,semantics;sorting,visual,Put the electronic devices in the grey bin,Put the gadgets away,Identify every electronic device on the table and place each one into the grey bin
FoodPacking1BoxesTask,foodpacking_1bin_1box.py,foodpacking_1bin_1box_1can.usda,simple,1,60,semantics,visual,Pack boxed foods into the bin,Pack boxes,Pick up the boxed food item and place it inside the bin
FoodPacking1CansTask,foodpacking_1bin_1can.py,foodpacking_1bin_1box_1can.usda,simple,1,60,semantics,visual,Pack canned foods into the bin,Pack cans,Pick up the canned food item and place it inside the bin
FoodPacking2BoxesTask,foodpacking_1bin_2box.py,foodpacking_1bin_2box_2can.usda,simple,2,180,semantics,visual,Pack boxed foods into the bin,Pack boxes,Pick up each boxed food item and place them all inside the bin
FoodPacking2CansTask,foodpacking_1bin_2can.py,foodpacking_1bin_2box_2can.usda,simple,2,180,semantics,visual,Pack canned foods into the bin,Pack cans,Pick up each canned food item and place them all inside the bin
FoodPacking3BoxesTask,foodpacking_1bin_3box.py,foodpacking_1bin_3box_3can.usda,moderate,3,240,semantics,visual,Pack boxed foods into the bin,Pack boxes,Pick up all three boxed food items and place each one inside the bin
FoodPacking3CansTask,foodpacking_1bin_3can.py,foodpacking_1bin_3box_3can.usda,moderate,3,240,semantics,visual,Pack canned foods into the bin,Pack cans,Pick up all three canned food items and place each one inside the bin
FoodPackingByColorTask,food_packing_by_color_task.py,food_packing.usda,moderate,2,120,spatial;sorting;color,relational;visual,Pack yellow objects in right container and blue object in the left container,Sort things by color,"Pick up the yellow can and place it in the right container, then pick up the blue object and place it in the left container"
FruitsGreenLimesOnPlateTask,fruits_green_limes_on_plate.py,fruits_out_of_basket.usda,simple,2,90,color,visual,Put all the green fruit on the plate,Plate green fruits,"Put all green limes on the table and place them on the flat, beige colored plate"
FruitsMovingOrangeOrLimeTask,fruits_move_orange_or_lime.py,fruits_in_basket.usda,simple,1,60,conjunction,relational,Move an orange or a lime to the wood bowl,Put an orange or lime fruit in the wooden bowl,Select either an orange or a green lime and place it inside the wooden bowl
FruitsMovingTask,fruits_move_orange.py,fruits_in_basket.usda,simple,1,60,color,visual,Move an orange to the white bowl,Move orange to white bowl,Pick up one orange citrus fruit and place it inside the white bowl
FruitsOnionTask,fruits_onion_to_bowl.py,fruits_in_basket.usda,simple,1,60,semantics,visual,Put the onion in the wood bowl,Put the vegetable in the wood bowl,Pick up the round onion and place it inside the wooden bowl
FruitsOnionToPlateTask,fruits_onion_to_plate.py,fruits_in_basket.usda,simple,1,60,semantics;vague,visual,Put the onion on the plate,Plate the onion,Pick up the round onion and place it on the flat plate
FruitsOnPlate3Task,fruits_to_plate_3.py,fruits_out_of_basket.usda,complex,3,200,semantics;vague;counting,relational;visual,Put three (3) fruits on the plate,Put three fruit on the plate,"Select exactly three fruits (lemon, lime, orange, pomegranate) from the table and place all of them on the plate"
FruitsOnPlateTask,fruits_to_plate.py,fruits_out_of_basket.usda,complex,7,300,semantics;vague,visual,Put all the fruits on the plate,Put fruits on the plate,Pick up all fruits that are on the table and place them all onto the large round plate
FruitsOrangesOnPlateTask,fruits_oranges_on_plate.py,fruits_out_of_basket.usda,moderate,2,90,counting;vague;semantics,relational;visual,Put all the oranges on the plate,Plate the oranges,"Pick up all of the orange citrus fruit from the table and place them all on the plate, there should be two oranges on the plate"
GrabABagelTask,grab_a_bagel.py,breakfast_table.usda,simple,1,30,semantics,visual,Grab a bagel,Grab some bread,Reach for one of the bagels on the table and pick it up
GrabAFruitTask,grab_a_fruit.py,breakfast_table.usda,simple,1,30,semantics,visual,Pick up a fruit,Grab a fruit,Reach for and grasp any one of the fruits on the table and lift it off the surface
GreenSpoonsInPotTask,green_spoons_in_pot.py,ladle_pot.usda,complex,3,180,reorientation;color,procedural;visual,Put the green spoons in the pot,Put the green utensils in the pot,Pick up all green-colored spoons and place them inside the cooking pot
HammersInLeftBinTask,tool_organization_left_task.py,tools_container.usda,moderate,2,180,semantics;spatial;color,relational;visual,Put the red hammer and black hammer in the left bin,Put hammers in the left bin,Pick up the red-handled hammer and the black-handled hammer and place both in the left bin
JugsOnShelfTask,jugs_on_shelf_task.py,shelf_with_cleaning_products.usda,simple,2,120,semantics,visual,Put all the jugs on the shelf,Put the jugs on the shelf,Pick up both jugs from the table and place them on the shelf
KeyboardOutOfBinTask,keyboard_out_of_bin_task.py,workdesk_bin.usda,simple,1,60,spatial,relational,Take the keyboard out of the bin and put it on the table,Take the keyboard out,"Reach into the bin, grasp the keyboard, lift it out, and place it on the table surface"
LargerObjectRaisinBoxInBinTask,bigger_object.py,butter_raisin_box_grey_bin.usda,simple,1,30,size,visual,Place the larger object in the grey bin.,Put the larger object away,Compare the objects and put the larger raisin box in the grey bin
MarkerInMugTask,marker_in_mug_task.py,workdesk.usda,moderate,1,40,affordance,procedural,Put the whiteboard marker in the mug,Put the marker in the mug,"Pick up the marker and drop it vertically into the mug, make sure the marker stands upright"
MouseOnKeyboardTask,mouse_on_keyboard.py,workdesk.usda,simple,1,60,semantics,visual,Put the computer mouse on the keyboard,Put the mouse on the keyboard,Pick up the computer mouse and place it on top of the keyboard
MoveBananaToBagelPlateTask,move_banana_to_bagel_plate.py,breakfast_table.usda,simple,2,90,semantics,visual,Move the bananas to the bagel plate,Put the bananas with the bagels,Pick up the yellow bananas and transfer them onto the plate containing the bagels
MustardAboveRaisinTask,mustard_above_raisin_task.py,mustard_raisin_box.usda,simple,1,40,spatial,relational,Place the mustard on the raisin box.,Put bottle on box,Pick up the mustard bottle and put it on top of the raisin box. The mustard should end up directly above the raisin box.
MustardInLeftBinTask,mustard_in_left_bin.py,two_bin.usda,simple,1,30,spatial,relational,Put the mustard in the left bin,Use the left bin for mustard,Pick up the mustard bottle and place it in the bin on the left side
MustardInRightBinTask,mustard_in_right_bin.py,two_bin.usda,simple,1,30,spatial,relational,Put the mustard in the right bin,Use the right bin for mustard,Pick up the mustard bottle and place it in the bin on the right side
NonHammerToolsInRightBinTask,non_hammer_tools_in_right_bin.py,tools_container.usda,moderate,2,180,semantics;spatial;sorting,relational;visual,Put the non-hammer tools in the right bin,Sort non-hammer tools to the right,"Pick up the cordless drill and the spring clamp and place both in the bin on the right side, leaving the hammers untouched"
OneBottleInSquarePailTask,one_bottle_in_square_pail.py,shelf_with_cleaning_products.usda,simple,1,60,semantics,visual,Put any white plastic bottle in the square pail,Put a bottle in the square pail,Pick up one of the three white plastic bottles and place it inside the square pail
OneBottleOnShelfTask,one_bottle_on_shelf_task.py,shelf_with_cleaning_products.usda,simple,1,60,semantics,visual,Put any white plastic bottle on the shelf,Put a bottle on the shelf,Pick up one of the three white plastic bottles and place it on the shelf
PhoneOrRemoteInBinTask,phone_or_remote_in_bin_task.py,workdesk_bin.usda,simple,1,60,conjunction,relational,Put the phone or the remote in the grey bin,Put the phone or the remote away,Choose either the black phone or the remote control and it into the grey bin next to the keyboard
PickDrillTask,pick_drill.py,mugs4_measuringcup_drill_bowl.usda,simple,1,40,semantics,visual,Pick up the cordless drill.,Get the drill,Pick up the orange cordless electric drill and lift it off the table
PickGlassesTask,pick_glasses_task.py,workdesk.usda,simple,2,30,semantics,visual,Pick up the eye glasses,Grab the glasses,Pick up the pair of black eyeglasses that's sitting on the table
PickOrangeObjectTask,cooking_orange_object.py,cooking_table.usda,simple,2,60,color,visual,Pick up the orange measuring cup,Pick up orange-colored thing,Identify and pick up the orange-colored object from the cooking area
PickUpBluePitcherTask,pick_up_blue_pitcher.py,blue.usda,moderate,2,30,color;affordance,procedural;visual,Pick up the large blue pitcher,Pick up blue object,Pick up the large blue pitcher on the table by the side handle and lift it off the table
PickUpGreenObjectTask,pick_up_green_object.py,green.usda,simple,2,30,color,visual,Pick up the green vegetable block,Pick up the green object,Identify the green vegetable block on the table and lift it off the table
PinkSpoonInPotTask,pink_spoon_in_pot.py,ladle_pot.usda,moderate,1,60,color;affordance,procedural;visual,Put the pink spaghetti spoon in the pot,Put the pink spoon in the pot,Pick up the pink spaghetti serving spoon that's on the left plate and place it inside the pot in the center of the table
PlasticBottlesInSquarePailTask,bottles_on_shelf_task.py,shelf_with_cleaning_products.usda,complex,3,180,semantics;sorting;size,visual,Put all the small plastic bottles in the square pail,Clean up small bottles in the square pail,Pick up the three small plastic bottles and place them inside the square shaped pail
PutBowlOnShelfTopTask,put_bowl_on_shelf.py,shelf_mugs_jug_bowl.usda,simple,1,60,spatial,relational,Put the serving bowl anywhere on the shelf in front of you,Put the bowl on shelf,Pick up the white serving bowl that's on the table to the right and place it on any open space on the shelf on the center of the table
PutMugsOnShelfTask,put_mugs_on_shelf.py,shelf_mugs_jug_bowl.usda,moderate,2,180,affordance;spatial;counting,procedural;relational,Put the two mugs on the shelf,Put the mugs on shelf,Pick up the two mugs from the table and place them on the shelf in front of you
PutTwoMugsOnShelfTask,put_two_mugs_on_shelf.py,wire_shelf_mugs_plate_spatula.usda,moderate,2,180,affordance;spatial;counting,procedural;relational,Put two (2) mugs on the wire shelf,Put the mugs on shelf,Select two mugs from the right side of the table and place them on the wire shelf in front of you
RecycleCartonsOnBoxTask,recycle_cartons_on_box.py,cartons_on_box.usda,simple,2,90,semantics,visual,Put the cartons that can be recycled on the box,Put the carton recyclables on the box,Identify the food cartons that can be recycled and put them on top of the brown square box.
RecycleCartonsVerticalCrateTask,recycle_cartons_vertical_crate.py,cartons_in_vertical_crate.usda,moderate,2,90,semantics;spatial,relational;visual,Put the cartons that can be recycled in the vertical crate,Recycle the cartons in the crate,Pick up the food cartons that can be recycled and place them into the vertical crate in the center of the table
RecycleCartonTask,recycle_cartons.py,cartons_in_crate.usda,simple,2,90,semantics;vague,visual,Put the recyclable cartons in the grey bin,Recycle the cartons,Pick up the food cartons that can be recycled and place them into the grey bin in the center of the table
RedDishesInBinTask,red_dishes_in_bin.py,rubiks_cube_banana_bowl_mug_bin.usda,simple,2,60,color;semantics,visual,Put the red dishware in the grey bin,Clean up red dishware,Pick up each red mug and bowl from the table and place them in the grey bin
RedItemsInBinTask,red_items_in_bin.py,rubiks_cube_banana_bowl_mug_bin.usda,moderate,2,60,color;sorting,visual,Put all the red things in the grey bin,Sort items by color,Identify every red-colored object on the table and place each one into the grey bin
ReorientAllMugsTask,reorient_all_mugs_task.py,mugs4_measuringcup_drill_bowl.usda,complex,3,90,reorientation,procedural,Reorient all the mugs upright so that the opening is facing upwards.,Make sure the mugs are upright,"Check each mug on the table and if any are tipped over or inverted, rotate them so the opening faces upward. Leave it if it's already upright."
ReorientJugTask,reorient_jug.py,shelf_with_cleaning_products.usda,moderate,1,60,semantics;reorientation;affordance,procedural;visual,Stand the jug upright,Fix the jug,Grasp the jug that is tipped on its side place it upright
ReorientRedMugTask,reorient_red_mugs_task.py,mugs4_measuringcup_drill_bowl.usda,moderate,1,60,reorientation;color,procedural;visual,Put the red mug upright so that the opening is facing upwards.,Fix the red cup,"Check the red ceramic mug and if it is tipped over or inverted, rotate it so the opening faces upward. Leave it if already upright."
ReorientWhiteMugsTask,reorient_white_mugs.py,mugs4_measuringcup_drill_bowl_v2.usda,moderate,1,60,reorientation;color,procedural;visual,Make sure all the white mugs are upright so that the opening is facing upwards.,Fix the cups,"For each white mug that is tipped over or upside down, rotate it so the opening faces straight up"
RubiksCubeAndBananaTask,rubiks_cube_and_banana_task.py,rubiks_cube_banana_bowl.usda,simple,2,60,conjunction,relational,Put the cube and the banana in the bowl,Put everything in the bowl,Pick up the rubiks cube and the yellow banana and place both inside the bowl
RubiksCubeBehindBowlTask,rubiks_cube_behind_bowl.py,rubiks_cube_banana_bowl.usda,moderate,3,30,spatial,relational,Put the rubiks cube behind the bowl,Put the cube behind the bowl,"Pick up the rubiks cube and place it on the table directly behind the bowl, further from you"
RubiksCubeInFrontOfBowlTask,rubiks_cube_in_front_of_bowl.py,rubiks_cube_banana_bowl.usda,moderate,3,30,spatial,relational,Put the rubiks cube in front of the bowl,Put the cube in front of the bowl,"Pick up the rubiks cube and place it on the table directly in front of the bowl, closer to you"
RubiksCubeLeftOfBowlTask,rubiks_cube_left_of_bowl.py,rubiks_cube_banana_bowl.usda,moderate,3,30,spatial,relational,Put the rubiks cube to the left of the bowl,Put the cube left of the bowl,Pick up the rubiks cube and place it on the table to the left side of the bowl
RubiksCubeOrBananaTask,rubiks_cube_or_banana_task.py,rubiks_cube_banana_bowl.usda,simple,1,30,conjunction,relational,Put the cube or the banana in the bowl,Choose an object and put it in the bowl,Choose either the rubiks cube or the yellow banana and place it inside the bowl
RubiksCubeRightOfBowlTask,rubiks_cube_right_of_bowl.py,rubiks_cube_banana_bowl_mug_bin.usda,moderate,3,30,spatial,relational,Put the rubiks cube to the right of the bowl,Put the cube right of the bowl,Pick up the rubiks cube and place it on the table to the right side of the bowl
RubiksCubesInBinTask,rubiks_cubes_in_bin.py,toys_cleanup.usda,complex,3,120,sorting,uncategorized,Sort all rubiks cubes into the bin,Put away rubiks cubes,Pick up only the three rubiks cube from the table and place them all into the grey bin
RubiksCubeTask,rubiks_cube_task.py,rubiks_cube_bowl.usda,simple,1,40,,uncategorized,Put the cube in the bowl,Put it in the bowl,Pick up the rubiks cube that's on the table and place it inside the bowl
RubiksCubeThenBananaTask,rubiks_cube_then_banana.py,rubiks_cube_banana_bowl.usda,simple,2,60,conjunction,relational,Put the cube then the banana in the bowl,Put the cube then banana in the bowl,"First pick up the rubiks cube that's on the table and place it in the bowl, then pick up the yellow banana and place it in the bowl"
SauceBottlesCrateTask,sauce_bottles_crate_task.py,bottles_crate.usda,simple,1,40,color;semantics,visual,Put the red bbq sauce bottle in the crate,Put the red bottle away,Pick up the red BBQ sauce bottle and place it inside the wooden crate
SmallerObjectButterInBinTask,smaller_object.py,butter_raisin_box_grey_bin.usda,simple,1,30,size,visual,Place the smaller object in the grey bin.,Put one in the bin,"Compare the objects on the table, identify the smaller one, and place it in the grey bin"
SmallPumpkinInBinTask,clutter_small_pumpkin_task.py,clutter_fruit_bottle_bluebin.usda,simple,1,60,size,visual,Put the small pumpkin in the bin,Put away the small pumpkin,Identify the smaller pumpkin of the two pumpkins on the table and place it in the bin
SmartphoneInBinTask,smartphone_in_bin_task.py,workdesk_bin.usda,simple,1,60,semantics,visual,Put the smartphone in the grey bin,Put the phone in the bin,Pick up the smartphone in front of you and place it inside the grey bin alongside the keyboard
SpoonInMugTask,spoon_in_mug_task.py,workdesk_bin.usda,moderate,1,60,affordance;spatial,procedural;relational,Put the metal spoon that's in the wooden bowl in the mug,Put the spoon in the mug,Take the metal spoon in the wooden bowl and place it inside the ceramic mug with the handle sticking out
SpoonsInPotTask,spoons_in_pot.py,ladle_pot.usda,complex,3,180,reorientation;semantics;affordance,procedural;visual,Put all of the serving spoons with no holes in the pot,Put the spoons with no holes in the pot,"Pick up all of the serving spoons (two green, one red) with no holes from the table and place them inside the cooking pot"
Stack3RubiksCubeTask,rubiks_cube_stacking_task.py,rubiks_cube_3.usda,moderate,2,60,stacking,procedural,Stack the rubiks cubes in a tower,Stack everything in a tower,Pick up the rubiks cubes and stack them vertically on top of each other on the table
StackWhiteMugsTask,stack_white_mugs_task.py,mugs4_measuringcup_drill_bowl.usda,moderate,2,60,stacking;color,procedural;visual,Stack the white mugs on top of each other.,Stack the white mugs,Take a white mug and place it on top of the other white mug
StackYellowOnRedTask,stack_yellow_on_red.py,toys_cleanup.usda,moderate,2,60,stacking,procedural,Stack the yellow block on the red block,Stack blocks: yellow on red,Pick up the yellow block on the left and place it precisely on top of the red block in front of the birdhouse
TakeMeasuringSpoonOutTask,take_measuring_spoon_out.py,mugs4_measuringcup_drill_bowl_v2.usda,simple,1,40,semantics,visual,Take the white colored measuring spoon out of the red bowl and put it on the table.,Take the measuring spoon out of the bowl,"Reach into the bowl, grasp the measuring spoon, lift it out, and place it on the table surface"
TakeMugsOffOfShelfTask,take_mugs_off_of_shelf.py,mugs_on_shelf.usda,moderate,2,180,semantics;affordance,procedural;visual,Take the mugs off the shelf,Clear the shelf,Remove each mug from the second level of the shelf and place them on the table below
TakeSpatulaOffShelfTask,take_spatula_off_shelf.py,wire_shelf_mugs_plate_spatula.usda,moderate,1,60,affordance;spatial,procedural;relational,Take the spatula off the shelf and put it on the table,Take the spatula off the shelf,"Reach up and remove the spatula from the shelf, then place it flat on the table surface"
ThrowAwayAppleTask,throw_away_apple_task.py,workdesk_snacks.usda,simple,1,60,semantics,visual,Throw away the apple,Toss the apple,Pick up the red apple from the table and drop it into the grey bin to discard it
ThrowAwaySnacksTask,throw_away_snacks_task.py,workdesk_snacks.usda,simple,2,120,semantics,visual,Put away the snacks in the bin,Throw away the snacks,Pick up each snack item from the table and drop it into the bin to discard
ToolOrganizationBothTask,tool_organization_both_task.py,tools_container.usda,moderate,2,180,semantics;spatial,relational;visual,Put hammers in the right bin and do not touch anything else,Put hammers in the right bin,"Pick up the red hammer and the black hammer and place them in the bin on the right side, leaving all other tools untouched"
ToolOrganizationTask,tool_organization_task.py,tools_container.usda,moderate,2,180,semantics;spatial;color,relational;visual,Put the red hammer and black hammer in the left bin,Put hammers in the left bin,Pick up the red-handled hammer and the black-handled hammer and place both in the left bin
ToolsPickingAllHammersTask,tools_picking_all_hammers.py,tools_picking.usda,complex,4,240,semantics;spatial,relational;visual,Take out all the hammers and put them on the table,Empty the hammers bin,Remove every hammer from the left bin and place each one on the table in front of you
ToolsPickingDrillTask,tools_picking_drill.py,tools_picking.usda,simple,1,60,spatial;semantics,relational;visual,Select the cordless drill and put it on the table,Get the drill,Pick up the cordless electric drill and place it on the table surface
ToolsPickingHammerTask,tools_picking_hammer.py,tools_picking.usda,simple,1,60,semantics;spatial;color,relational;visual,Select the blue hammer and put it on the table,Get the blue hammer,"Reach into the tool area, grasp the blue-handled hammer, and place it flat on the table surface"
ToyInBinTask,lizard_in_bin_task.py,workdesk_bin.usda,simple,1,60,semantics,visual,Put the lizard away in the bin,Put the toy away,Put the green lizard figurine away in the grey bin
UnstackRubiksCubeTask,unstack_rubiks_cube.py,mug_banana_ketchup_bowl_rubiks3_bin.usda,moderate,2,90,stacking,procedural,Unstack the rubiks cube tower,Unstack the tower,Remove each rubiks cube from the stacked tower one at a time and place them separately on the table
UtensilsInMugTask,utensils_in_mug.py,breakfast_table.usda,moderate,2,90,semantics;affordance,procedural;visual,Put the fork and spoon in the ceramicmug,Put the utensils in the mug,"Take the fork on the bagel plate and put it in the ceramic mug, and take the spoon from the red bowl and put it in the mug"
WhiteMugInCenterOfTableTask,white_mug_in_center_of_table.py,objects_around_table.usda,moderate,3,30,color;spatial,relational;visual,Put the white mug in the center of the table.,Move the mug to the center,Pick up the white ceramic mug and place it in the center of the table surface away from the other objects
WhiteMugsInBinTask,white_mugs_in_bin.py,mugs2_bananas2_ketchup_rubiks3_bin.usda,simple,2,60,color,visual,Clean up the white mugs,Put away all mugs,Put the two white mugs in the grey bin
WoodSpatulaToBowlTask,wood_spatula_to_bowl.py,fruits_in_basket.usda,simple,1,60,semantics,visual,Put the wooden spatula in the bowl,Put the wood utensil in the bowl,Pick up the wooden spatula from the utensils box on the table and place it inside the wooden bowl in the center of the table
YellowAndWhiteObjectsInBinTask,yellow_and_white_objects_in_bin.py,mug_banana_ketchup_bowl_rubiks3_bin.usda,simple,2,60,color;conjunction,relational;visual,Put all white objects and yellow objects in the grey bin,Clean up white and yellow objects,Identify the white-colored and yellow-colored object on the table and place each one into the grey bin
YogurtInBowlTask,yogurt_in_bowl.py,breakfast_table.usda,simple,1,40,color;size,visual,Put the small red yogurt in the red bowl,Put the yogurt in the bowl,Pick up the small red yogurt container and place it inside the red bowl
