category,activity,task_name,task_class,description,steps,default_instruction,base_class,source_file
arranging_condiments,Arranging Condiments,Categorizes Condiments,CategorizeCondiments,Task: Put the shaker from the counter next to the shaker in the cabinet and the condiment bottle from the counter next to the condiment bottle in the cabinet.,,Put the shaker and condiment bottle from the counter next to their counterparts in the cabinet.,Kitchen,composite/arranging_condiments/categorize_condiments.py
arranging_condiments,Arranging Condiments,Line Up Condiments,LineUpCondiments,Task: Take 2 condiments from the cabinet and place them next to each other on the counter near the stove.,,,Kitchen,composite/arranging_condiments/line_up_condiments.py
arranging_condiments,Arranging Condiments,Organize Condiments,OrganizeCondiments,"Task: Move the 3 condiments from the counter into the cabinet, leaving the distractor on the counter.",,There are various items on the counter. Only move the condiments/shakers into the cabinet.,Kitchen,composite/arranging_condiments/organize_condiments.py
baking,Baking Cookies and Cakes,Cookie Dough Prep,CookieDoughPrep,Simulates the task of preparing cookie dough.,Pick an egg and butter from the fridge and place it by the bowl for mixing.,Pick the egg and butter from the fridge and place them by the bowl for mixing.,Kitchen,composite/baking/cookie_dough_prep.py
baking,Baking Cookies and Cakes,Cool Baked Cake,CoolBakedCake,Simulates the task of cooling a baked cake.,Take the baked cake out of the oven and place it on the plate for cooling. Then close the oven door.,Take the baked cake out of the oven and place it on the plate for cooling. Then close the oven door.,Kitchen,composite/baking/cool_baked_cake.py
baking,Baking Cookies and Cakes,Cool Baked Cookies,CoolBakedCookies,Simulates the task of finishing baking cookies.,1. Open the oven door and slide the rack out 2. Take the tray with baked cookies out of the oven and place it on the counter for cooling,,Kitchen,composite/baking/cool_baked_cookies.py
baking,Baking,Cupcake Cleanup,CupcakeCleanup,Simulates the task of cleaning up after baking cupcakes.,"Move the cupcake off the tray onto the counter, and place the bowl used for mixing into the sink.",,Kitchen,composite/baking/cupcake_cleanup.py
baking,Baking Cookies and Cakes,Mix Cake Frosting,MixCakeFrosting,Simulates the task of mixing frosting for a cake.,Add butter and sugar cubes to the stand mixer bowl and turn the knob to begin making frosting,Add butter and sugar cubes to the stand mixer bowl and then turn on the stand mixer to begin making frosting.,Kitchen,composite/baking/mix_cake_frosting.py
baking,Baking,Organize Baking Ingredients,OrganizeBakingIngredients,Simulates the task of organizing baking ingredients.,Place the eggs and milk near the bowl on the counter.,Gather the eggs and milk located in the vicinity of the sink area and place them right next to the bowl.,Kitchen,composite/baking/organize_baking_ingredients.py
baking,Baking,Pastry Display,PastryDisplay,Simulates the task of displaying pastries.,Place the pastries on the plates.,Place the pastries on the plates.,Kitchen,composite/baking/pastry_display.py
boiling,Boiling,Boil Corn,BoilCorn,Simulates the task of boiling corn by placing two corns in a saucepan with water and then placing the lid to start the boiling process.,1. Place two corns in the saucepan with water 2. Place the lid on the saucepan to start boiling,,Kitchen,composite/boiling/boil_corn.py
boiling,Boiling,Boil Eggs,BoilEggs,Simulates the task of boiling eggs by placing two eggs in a saucepan with boiling water,Place two eggs in the saucepan with water,Place both eggs from the plate into the saucepan with boiling water.,Kitchen,composite/boiling/boil_eggs.py
boiling,Boiling,Boil Pot,BoilPot,Simulates the process of boiling water in a pot.,Take the pot filled with water and place it on the stove. Turn on the stove burner to boil the water.,,Kitchen,composite/boiling/boil_pot.py
boiling,Boiling Water,Cool Kettle,CoolKettle,Simulates the task of waiting for boiled water to cool before handling.,1) The kettle is already boiling on the stove (knob is on at the start). 2) Wait 150 timesteps before picking it up. 3) Move the kettle from the stove to the dining table.,"The kettle is done boiling. Turn off the stove, then wait for 150 timesteps before moving the kettle to the dining table.",Kitchen,composite/boiling/cool_kettle.py
boiling,Boiling,Fill Kettle,FillKettle,Simulates the process of filling up a kettle with water from the sink.,Take the kettle from the cabinet and fill it with water from the sink.,"Open the cabinet, pick the kettle from the cabinet, and place it in the sink.",Kitchen,composite/boiling/fill_kettle.py
boiling,Boiling,Heat Multiple Water,HeatMultipleWater,Simulates the process of heating water in a pot and a kettle.,Take the kettle from the cabinet and place it on a stove burner. Take the pot from the counter and place it on another stove burner. Turn both burners on.,,Kitchen,composite/boiling/heat_multiple_water.py
boiling,Boiling,Place Lid to Boil,PlaceLidToBoil,Simulates the task of placing a lid on a saucepan on the stove to boil the water faster.,1. Place the lid on top of the saucepan on the stove to boil the water faster.,Place the lid on the saucepan on the stove to boil the water faster.,Kitchen,composite/boiling/place_lid_to_boil.py
boiling,Boiling,Start Electric Kettle,StartElectricKettle,"Simulates the process of starting an electric kettle, along with closing the lid.","Close the lid of the electric kettle. Then, press down fully to start the kettle.",Close the electric kettle lid and turn on the electric kettle.,Kitchen,composite/boiling/start_electric_kettle.py
brewing,Brewing,Arrange Tea,ArrangeTea,Simulates the task of arranging tea.,Take the kettle from the counter and place it on the tray. Take the mug from the cabinet and place it on the tray. Close the cabinet doors.,,Kitchen,composite/brewing/arrange_tea.py
brewing,Brewing,Deliver Brewed Coffee,DeliverBrewedCoffee,Simulates the task of delivering brewed coffee to the dining area.,Pick the brewed coffee (mug) from the coffee machine and place it next to the breakfast plate on the dining counter.,,Kitchen,composite/brewing/deliver_brewed_coffee.py
brewing,Brewing,Kettle Boiling,KettleBoiling,Simulates the task of boiling water in a kettle.,Take the kettle from the counter and place it on a stove burner. Turn the burner on.,Pick the kettle from the counter and place it on a stove burner. Then turn the burner on.,Kitchen,composite/brewing/kettle_boiling.py
brewing,Brewing,Organize Condiments,OrganizeCoffeeCondiments,Simulates the task of organizing condiments.,"Open the cabinet, pick the condiments, and place them near the mug.",Pick the {obj1_name} and {obj2_name} from the {self.cab.nat_lang} and place them next to the mug.,Kitchen,composite/brewing/organize_coffee_condiments.py
brewing,Brewing,Prepare Coffee,PrepareCoffee,Simulates the process of preparing coffee.,"Pick the mug from the cabinet, place it under the coffee machine dispenser, and press the start button.","Pick the {obj_name} from the cabinet, place it under the coffee machine dispenser, and press the start button.",Kitchen,composite/brewing/prepare_coffee.py
brewing,Brewing,Sweeten Coffee,SweetenCoffee,Simulates the task of sweetening coffee by adding milk and sugar.,1. Take a sugar cube from the saucer and place it inside the coffee mug. 2. Get milk from the fridge and place it next to the coffee on the counter next to the coffee machine.,,Kitchen,composite/brewing/sweeten_coffee.py
broiling_fish,Broiling Fish,Broil Fish,OvenBroilFish,Simulates preparing the oven for broiling fish.,1. Place the fish on the tray. 2. Slide the tray back inside the oven. 3. Close the oven door.,,Kitchen,composite/broiling_fish/oven_broil_fish.py
broiling_fish,Broiling Fish,Prepare Broiling Station,PrepareBroilingStation,Simulates the process of setting up cooking utensils near the oven for broiling.,Take the tong from the counter and place it on the plate near the oven.,Pick up the tongs from the counter and place them near the plate next to the oven.,Kitchen,composite/broiling_fish/prepare_broiling_station.py
broiling_fish,Broiling Fish,Remove Broiled Fish,RemoveBroiledFish,Simulates the process of removing the broiled fish from the oven and placing it on a plate.,Take the fish from the oven and place it on the plate on the counter.,Take the fish from the oven and place it on the plate on the counter.,OpenOven,composite/broiling_fish/remove_broiled_fish.py
broiling_fish,Broiling Fish,Broil Fish,ToasterOvenBroilFish,Simulates preparing the toaster oven for broiling fish.,1. Place the fish on the tray. 2. Slide the tray back inside the toaster oven. 3. Close the toaster oven door. 4. Set the temperature to the max to begin broiling the fish.,,Kitchen,composite/broiling_fish/toaster_oven_broil_fish.py
broiling_fish,Broiling Fish,Wash Fish,WashFish,Simulates the process of rinsing fish in the sink and placing it on a baking tray.,"Take the fish from the fridge, rinse it in the sink, and place it on the baking tray.","Take the fish out of the fridge, briefly rinse it in the sink, and place it on the tray next to the sink.",Kitchen,composite/broiling_fish/wash_fish.py
chopping_food,Chopping Food,Arrange Cutting Fruits,ArrangeCuttingFruits,Simulates the task of selecting fruits from the fridge and placing them on the cutting board while leaving non-fruit items in the fridge.,1. Select and place the 2 fruits from the fridge on the cutting board 2. Leave the 2 non-fruit items in the fridge,,Kitchen,composite/chopping_food/arrange_cutting_fruits.py
chopping_food,Chopping Food,Arrange Vegetables,ArrangeVegetables,Simulates the task of arranging vegetables on the cutting board.,Take the vegetables from the sink and place them on the cutting board.,Pick the vegetables from the sink and place them on the cutting board.,Kitchen,composite/chopping_food/arrange_vegetables.py
chopping_food,Chopping Food,Bread Setup Slicing,BreadSetupSlicing,Simulates the task of setting up bread for slicing.,Place all breads on the cutting board.,Place all breads on the cutting board.,Kitchen,composite/chopping_food/bread_setup_slicing.py
chopping_food,Chopping Food,Clearing The Cutting Board,ClearCuttingBoard,Simulates the task of clearing the cutting board.,Clear the non-vegetable object off the cutting board and place the vegetables onto it.,Clear the non-vegetable object off the cutting board and place the vegetables onto it.,Kitchen,composite/chopping_food/clear_cutting_board.py
chopping_food,Chopping Food,Meat Transfer,MeatTransfer,Simulates the task of transferring meat to a container.,"Retrieve a container (either a pan or a bowl) from the cabinet, then place the raw meat into the container to avoid contamination.",,Kitchen,composite/chopping_food/meat_transfer.py
chopping_food,Chopping Food,Organize Vegetables,OrganizeVegetables,Simulates the task of organizing vegetables on cutting boards.,Place the vegetables on separate cutting boards,Place the {obj_name_1} and the {obj_name_2} on separate cutting boards.,Kitchen,composite/chopping_food/organize_vegetables.py
chopping_vegetables,the chopping vegetables,Tool Selection,CuttingToolSelection,Simulates the task of selecting the appropriate cutting tool based on the food item on the cutting board.,Place the appropriate cutting tool (peeler or knife) on the cutting board based on the food item.,Place the appropriate cutting tool for cutting the {cat} skin on the cutting board.,ManipulateDrawer,composite/chopping_vegetables/cutting_tool_selection.py
chopping_vegetables,the chopping vegetables,Gather Cutting Tools,GatherCuttingTools,Simulates the task of gathering cutting tools to prepare for chopping vegetables.,Open the drawer on the specified side. Place the cutting tools (peeler and knife) on the cutting board.,Open the drawer on the {self.drawer_side} and place the cutting tools on the cutting board.,ManipulateDrawer,composite/chopping_vegetables/gather_cutting_tools.py
cleaning_appliances,Cleaning Appliances,Clean Blender Jug,CleanBlenderJug,Simulates the task of cleaning the blender by taking the blender jug and placing it in the sink for washing.,Take the blender jug from the counter and place it in the sink.,Take the blender jug and place it in the sink to prepare it for cleaning.,Kitchen,composite/cleaning_appliances/clean_blender_jug.py
cleaning_appliances,Cleaning Appliances,Prep Fridge for Cleaning,PrepFridgeForCleaning,Simulates the task of clearing the fridge of perishable items to prepare for interior cleaning.,"Open the fridge, remove all food items (fruit, vegetable, meat), and place them on the counter.",,Kitchen,composite/cleaning_appliances/prep_fridge_for_cleaning.py
cleaning_appliances,Cleaning Appliances,Prep Sink for Cleaning,PrepSinkForCleaning,Simulates the task of clearing the sink area by moving objects away to the cabinet and fridge before cleaning the faucet.,1. Move the cup from near the sink to the open cabinet. 2. Move the bowl with food item to the fridge to clear the area for faucet cleaning.,,Kitchen,composite/cleaning_appliances/prep_sink_for_cleaning.py
cleaning_sink,Cleaning Sink,Clear Food Waste,ClearFoodWaste,Simulates the process of moving food items out of the sink and into a receptacle.,1. Move the food items out of the sink and into the colander.,Move the food items out of the sink and into the colander.,Kitchen,composite/cleaning_sink/clear_food_waste.py
cleaning_sink,Cleaning Sink,Clear Sink Area,ClearSinkArea,Simulates the process of moving items away from the sink to allow for sink cleaning.,1. Move the mugs and bowl far away from the sink,Clear the mugs and bowl far away from the sink.,Kitchen,composite/cleaning_sink/clear_sink_area.py
cleaning_sink,Washing Dishes,Rinse the Sink Basin,RinseSinkBasin,Simulates the process of rinsing the sink basin using the sink's spout.,1. Turn on the sink 2. Move the spout left and right to rinse all locations of the sink basin.,Turn on the sink and manuever the spout to wash all locations of the sink basin.,Kitchen,composite/cleaning_sink/rinse_sink_basin.py
clearing_table,Clearing Table,Bowl And Cup,BowlAndCup,Simulates the process of efficiently clearing the table.,Place the cup inside the bowl on the dining table and move it to any counter. Restricted to layouts with a dining table.,Place the cup inside the bowl on the dining table and move the bowl to any counter.,Kitchen,composite/clearing_table/bowl_and_cup.py
clearing_table,Clearing Table,Candle Cleanup,CandleCleanup,Simulates the process of efficiently clearing the dining table decorations.,Pick the decorations from the dining table and place it in the open cabinet.,,Kitchen,composite/clearing_table/candle_cleanup.py
clearing_table,Clearing Table,Clearing Cleaning Receptacles,ClearReceptaclesForCleaning,Simulates the process of clearing receptacles from the dining table and cleaning them in the sink.,"Pick the receptacles from the dining table and place them in the sink. Then, turn on the water.",Pick the {obj_name_1} and {obj_name_2} and place them in the sink. Then turn on the water.,Kitchen,composite/clearing_table/clear_receptacles_for_cleaning.py
clearing_table,Clearing Table,Cluster Items For Clearing,ClusterItemsForClearing,Simulates the process of clustering items on one side of the dining counter for efficient clearing and organization.,Move the two items from the dining counter to cluster with the third item that is already positioned on one side of the dining counter. Restricted to layouts with a dining table.,,Kitchen,composite/clearing_table/cluster_items_for_clearing.py
clearing_table,Clearing Table,Condiment Collection,CondimentCollection,Simulates the task of collecting condiments from the counter and placing them in the cabinet.,Pick the condiments from the counter and place them in the cabinet.,Pick the {obj_name_1} and {obj_name_2} from the counter and place them in the cabinet.,Kitchen,composite/clearing_table/condiment_collection.py
clearing_table,Clearing Table,Dessert Assembly,DessertAssembly,Simulates the task of assembling desserts.,Pick the container with the dessert on it and place in on the tray. Pick the cupcake and place it on the tray.,Place the {container} with {dessert1} and the cupcake onto the tray.,Kitchen,composite/clearing_table/dessert_assembly.py
clearing_table,Clearing Table,Drinkware Consolidation,DrinkwareConsolidation,Simulates the task of clearing the island drinkware and placing them back in a cabinet.,Pick the drinkware from the island and place them in the open cabinet.,Pick the {objs_lang} from the counter and place {,Kitchen,composite/clearing_table/drinkware_consolidation.py
clearing_table,Clearing Table,Food Cleanup,FoodCleanup,Simulates the task of cleaning up various food items left on the counter.,Pick the food items from the counter and place them in the cabinet. Then close the cabinet.,Pick the {items} from the counter and place {,Kitchen,composite/clearing_table/food_cleanup.py
defrosting_food,Defrosting Food,Defrost By Category,DefrostByCategory,Simulates the task of arranging and defrosting fruits and vegetables by type.,Pick place all of the fruits in the running sink and all of the vegetables in a bowl on the counter.,,Kitchen,composite/defrosting_food/defrost_by_category.py
defrosting_food,Defrosting Food,Microwave Thawing,MicrowaveThawing,Simulates the task of defrosting food in a microwave.,Pick the food from the counter and place it in the microwave. Then turn on the microwave.,,Kitchen,composite/defrosting_food/microwave_thawing.py
defrosting_food,Defrosting Food,Microwave Thawing Fridge,MicrowaveThawingFridge,Simulates the task of defrosting food in a microwave.,"Pick the frozen food from the fridge and place it in the microwave. Then, close the microwave door and turn it on.",Transport the {meat_lang} from the fridge to the microwave and turn on the microwave.,Kitchen,composite/defrosting_food/microwave_thawing_fridge.py
defrosting_food,Defrosting Food,Move To Counter,MoveToCounter,Simulates the task of moving meat from the fridge to the counter.,Pick place all of the fruits in the running sink and all of the vegetables in a bowl on the counter.,Pick the {food_lang} from the fridge and place it on the {plate_lang} on the counter.,Kitchen,composite/defrosting_food/move_to_counter.py
defrosting_food,Defrosting Food,Quick Thaw,QuickThaw,Simulates the task of defrosting meat on a stove.,Pick the meat from the counter and place it in a pot on a burner. Then turn on the burner.,Retrieve the frozen meat and place it in the pot on a burner. Then turn the burner on.,Kitchen,composite/defrosting_food/quick_thaw.py
defrosting_food,Defrosting Food,Thaw In Sink,ThawInSink,Simulates the task of defrosting food in a sink.,Pick the food from the counter and place it in the sink. Then turn on the sink faucet.,,Kitchen,composite/defrosting_food/thaw_in_sink.py
filling_serving_dishes,Filling Serving Dishes,Build Appetizer Plate,BuildAppetizerPlate,"Simulates the task of creating an appetizer plate by selecting cheese, a meat item, and a vegetable from the fridge and arranging them on a plate.","Take cheese, a meat item, and a vegetable from the fridge and place them on a plate to create an appetizer plate.",,Kitchen,composite/filling_serving_dishes/build_appetizer_plate.py
filling_serving_dishes,Filling Serving Dishes,Display Meat Variety,DisplayMeatVariety,Simulates the task of retrieving different meat varieties from the fridge and displaying them on a serving tray on the dining counter.,"Retrieve chicken, shrimp, and beef pieces from the fridge and lay them out on a serving tray on the dining counter.",,Kitchen,composite/filling_serving_dishes/display_meat_variety.py
filling_serving_dishes,Filling Serving Dishes,Meat Skewer Assembly,MeatSkewerAssembly,Simulates the task of preparing kebab skewers for oven cooking by moving them from the plate to an oven tray.,Move 2 kebab skewers from the plate to an oven tray for oven preparation.,Move the kebab skewers from the plate to the oven tray for oven preparation.,Kitchen,composite/filling_serving_dishes/meat_skewer_assembly.py
filling_serving_dishes,Filling Serving Dishes,Mixed Fruit Platter,MixedFruitPlatter,Simulates the task of serving fruit with cooked food.,Pick up two fruits from the fridge and place one on each plate on the dining counter.,,Kitchen,composite/filling_serving_dishes/mixed_fruit_platter.py
frying,Frying,Assemble Cooking Array,AssembleCookingArray,Simulates the task of assembling ingredients for cooking.,"Move the meat onto the pan on the stove. Then, move the condiment and vegetable from the cabinet to the counter where the plate is.",,Kitchen,composite/frying/assemble_cooking_array.py
frying,Frying,Distribute Steak On Pans,DistributeSteakOnPans,Simulates the task of redistributing steaks across pans for better heat distribution and maneuverability.,1) Move 1 steak from the full pan to the empty pan 2) Turn on the stove burner for the empty pan,,Kitchen,composite/frying/distribute_steak_on_pans.py
frying,Frying,Frying Pan Adjustment,FryingPanAdjustment,Simulates the task of adjusting the frying pan on the stove.,Move the pan from the current burner to another burner and turn on the burner.,Pick and place the pan from the current burner to another burner and turn the burner on.,Kitchen,composite/frying/frying_pan_adjustment.py
frying,Frying,Meal Prep Staging,MealPrepStaging,Simulates the task of cooking various ingredients.,"Place the pans on different burners, then place the vegetable and meat on different pans.",,Kitchen,composite/frying/meal_prep_staging.py
frying,Frying Foods,Press Chicken Drumstick for Crisp Finish,PressChicken,Simulates the process of sizzling chicken drumstick while frying.,1) Pick up the spatula on the plate by the stove. 2) Press the spatula down on the chicken for 25 timesteps. 3) Put the spatula back on the plate it was picked up from.,"Pick up the spatula from the plate and lightly press it against the chicken for a few seconds, then release.",Kitchen,composite/frying/press_chicken.py
frying,Frying Foods,Rotate the Pan for Even Frying,RotatePan,Simulates the task of rotating the pan slightly to distribute heat evenly.,1) Ensure the pan is on the stove. 2) Ensure meat/seafood is inside the pan. 3) Rotate the pan.,Rotate the pan to help distribute the heat more evenly.,Kitchen,composite/frying/rotate_pan.py
frying,Frying,Searing Meat,SearingMeat,Simulates the task of searing meat.,"Place the pan on the specified burner on the stove, then place the meat on the pan and turn the burner on.",,Kitchen,composite/frying/searing_meat.py
frying,Frying,Setup Frying,SetupFrying,Simulates the task of setting up the frying pan on the stove.,Place the pan on the stove burner and turn the burner on.,,Kitchen,composite/frying/setup_frying.py
garnishing_dishes,Garnishing Dishes,Add Lemon to Fish,AddLemonToFish,Simulates the task of garnishing a fish dish with a lemon wedge.,Take a lemon wedge from the fridge and place it on a plate with fish on the dining counter.,Take the {lemon_name} from the fridge and place it on the plate with {fish_name} on the dining counter.,Kitchen,composite/garnishing_dishes/add_lemon_to_fish.py
garnishing_dishes,Garnishing Dishes,Add Sugar Cube to Cake,AddSugarCubes,Simulates the task of garnishing a cake with two sugar cubes.,Take two sugar cubes from the cabinet and place them on a plate with cake on the dining counter.,Take the two sugar cubes and place them on the plate with the cake.,Kitchen,composite/garnishing_dishes/add_sugar_cubes.py
garnishing_dishes,Garnishing Dishes,Garnish Cake,GarnishCake,Simulates the task of garnishing a cake with fruits.,"1. Take one cherry from the fruit plate and place it on top of the cake, or next to the cake 2. Take one strawberry from the fruit plate and place it on the plate next to the cake",,Kitchen,composite/garnishing_dishes/garnish_cake.py
garnishing_dishes,Garnishing Dishes,Garnish Cupcake,GarnishCupcake,Simulates the task of garnishing a cupcake with chocolate and cinnamon.,Take cinnamon from the cabinet and place it next to the plate (0.3 distance). Take chocolate from the counter and place it on the plate with the cupcake.,,Kitchen,composite/garnishing_dishes/garnish_cupcake.py
garnishing_dishes,Garnishing Dishes,Garnish Pancake,GarnishPancake,Simulates the task of garnishing a pancake with a strawberry topping.,Take a strawberry from the fridge and place it on a pancake on the dining counter.,"Take the strawberry from the fridge and place it on top of the pancake, located on the dining counter.",Kitchen,composite/garnishing_dishes/garnish_pancake.py
loading_dishwasher,Washing Dishes,LoadDishwasher,LoadDishwasher,Stimulates loading dishes from the counter into the dishwasher.,Take the dishes from the counter and place them on the top rack of the dishwasher. Close the dishwasher fully.,,Kitchen,composite/loading_dishwasher/load_dishwasher.py
loading_dishwasher,Washing Dishes,PrepareDishwasher,PrepareDishwasher,Stimulates opening the dishwasher door and pulling out the top rack to prepare for loading.,Open the dishwasher door. Pull out the top rack of the dishwasher.,Open the dishwasher door and pull out the top rack.,Kitchen,composite/loading_dishwasher/prepare_dishwasher.py
loading_fridge,Loading Fridge,Create Child Friendly Fridge,CreateChildFriendlyFridge,"Simulates the task of organizing fridge items with child safety in mind. alcohol beverages are placed on the top shelf to keep them out of reach of children, while fruits and vegetables are placed on lower shelves for easy access.",Place 3 items from the counter near the fridge into the fridge. alcohol beverages go on the top shelf (out of child reach). Fruits and vegetables go on any shelf except the top shelf. The third item is randomly chosen to be either alcohol or fruit/vegetable.,,Kitchen,composite/loading_fridge/create_child_friendly_fridge.py
loading_fridge,Loading Fridge,Load Condiments In Fridge,LoadCondimentsInFridge,Simulates the task of organizing condiments in the fridge by placing them on the top shelf for easy access. There are 2 distractor items already in the fridge that may need to be moved if they're on the top shelf.,"Place 2 condiments from the counter next to the fridge onto the top shelf of the fridge. If any distractor items are on the top shelf, move them to other shelves to make space for the condiments.",,Kitchen,composite/loading_fridge/load_condiments_in_fridge.py
loading_fridge,Loading Fridge,Load Fridge By Type,LoadFridgeByType,"Simulates the task of placing vegetables and meat items from the counter into specific shelves of the fridge based on food type, organized in bowls.",Place a bowl of vegetables and a bowl of meat on different shelves of the fridge.,,Kitchen,composite/loading_fridge/load_fridge_by_type.py
loading_fridge,Loading Fridge,Load Fridge FIFO,LoadFridgeFifo,"Simulates the task of placing newer meat behind older meat on the same rack to maintain a FIFO (First In, First Out) system.",Place the newer meat from the counter behind the older meat in the fridge on the same rack to maintain FIFO order. Close the fridge door when finished.,,Kitchen,composite/loading_fridge/load_fridge_fifo.py
loading_fridge,Loading Fridge,Load Prepared Food,LoadPreparedFood,Simulates the task of placing prepared food (tupperware with meat and vegetables) in the fridge while managing space on the shelves.,Place the tupperware containing meat and vegetables on the top shelf or second highest shelf (randomly decided). The task includes existing items on both shelves to create a space management challenge.,,Kitchen,composite/loading_fridge/load_prepared_food.py
loading_fridge,Loading Fridge,Move Freezer To Fridge,MoveFreezerToFridge,Simulates the task of moving frozen meat from the freezer to the fridge to start the defrosting process.,1. Pick up the frozen meat from the freezer 2. Place the frozen meat in the fridge 3. Close the fridge and freezer doors,,Kitchen,composite/loading_fridge/move_freezer_to_fridge.py
loading_fridge,Loading Fridge,Place Veggies In Drawer,PlaceVeggiesInDrawer,Simulates the task of opening the fridge drawer and placing vegetables inside.,Open the fridge drawer and place the vegetables inside.,Place the {veg_text} inside the fridge drawer. Close the drawer after placing the vegetables.,Kitchen,composite/loading_fridge/place_veggies_in_drawer.py
loading_fridge,Loading Fridge,Rearrange Fridge Items,RearrangeFridgeItems,Simulates the task of rearranging items in the fridge to make space. There are 2 items on either the top shelf or second highest shelf that need to be moved to the other shelf so that a pitcher on the counter can be placed on the cleared shelf.,"Move the 2 items from the source shelf to the destination shelf, then place the pitcher from the counter on the cleared shelf.",,Kitchen,composite/loading_fridge/rearrange_fridge_items.py
making_juice,the making juice,ChooseRipeFruit,ChooseRipeFruit,Simulates the task of choosing a ripe fruit from two fruits (one rotten and one non-rotten) and putting it in the blender.,1. Pick up the non-rotten fruit from the counter. 2. Put the non-rotten fruit in the blender.,Put the non-rotten {fruit_lang} in the blender.,Kitchen,composite/making_juice/choose_ripe_fruit.py
making_juice,the making juice,FillBlenderJug,FillBlenderJug,Simulates the task of filling the blender jug with water from the sink.,1. Pick up the blender jug from the counter. 2. Turn on the sink faucet. 3. Fill the blender jug with water from the sink.,Turn on the sink faucet and place the jug under the water for a few seconds to fill it up.,Kitchen,composite/making_juice/fill_blender_jug.py
making_juice,the making juice,JuiceFruitReamer,JuiceFruitReamer,Simulates the task of juicing a sliced fruit using a fruit reamer.,1. Pick up the sliced fruit from the counter. 2. Press the sliced fruit against the reamer to juice it.,Juice the {obj_lang} by pressing it against the reamer.,Kitchen,composite/making_juice/juice_fruit_reamer.py
making_salads,Making Salads,PrepareCheeseStation,PrepareCheeseStation,Simulates the task of setting up cheese to be grated for a salad.,Pick the cheese from the fridge and pick the cheese grater from the cabinet and place them next to the salad bowl.,Pick the cheese from the fridge and the cheese grater from the cabinet and place them next to the salad bowl.,Kitchen,composite/making_salads/prepare_cheese_station.py
