skill_family,appliance,task_name,task_class,description,default_instruction,base_class,source_file
Other,pick place,Make Iced Coffee,MakeIcedCoffee,Make Iced Coffee: Add a single ice cube to a glass of coffee. Simulates picking up one ice cube and placing it into a glass cup that represents coffee.,Pick the {obj_lang} from the counter and place it in the cabinet.,Kitchen,atomic/kitchen_pick_place.py
Navigation,navigate,Navigate Kitchen,NavigateKitchen,Class encapsulating the atomic navigate kitchen tasks. Involves navigating the robot to a target fixture.,Navigate to the {self.target_fixture.nat_lang}.,Kitchen,atomic/kitchen_navigate.py
Open/close,blender,Open Blender Lid,OpenBlenderLid,Class encapsulating the atomic open blender lid task.,Open the blender by taking off the lid and placing it on the counter.,Kitchen,atomic/kitchen_blender.py
Open/close,doors,Open Cabinet,OpenCabinet,Class encapsulating the atomic manipulate door tasks.,Open the toaster oven door.,OpenDoor,atomic/kitchen_doors.py
Open/close,doors,Open Dishwasher,OpenDishwasher,Class encapsulating the atomic manipulate door tasks.,Open the toaster oven door.,OpenDropDownDoor,atomic/kitchen_doors.py
Open/close,doors,Open Door,OpenDoor,Class encapsulating the atomic manipulate door tasks.,Open the toaster oven door.,ManipulateDoor,atomic/kitchen_doors.py
Open/close,drawer,Open Drawer,OpenDrawer,Class encapsulating the atomic open drawer task.,Fully slide the top dishwasher rack {direction}.,ManipulateDrawer,atomic/kitchen_drawer.py
Open/close,electric kettle,Open Electric Kettle Lid,OpenElectricKettleLid,Class encapsulating the atomic open electric kettle lid task.,Press down the lever to turn on the electric kettle.,Kitchen,atomic/kitchen_electric_kettle.py
Open/close,doors,Open Fridge,OpenFridge,Class encapsulating the atomic manipulate door tasks.,Open the toaster oven door.,OpenDoor,atomic/kitchen_doors.py
Open/close,drawer,Open Fridge Drawer,OpenFridgeDrawer,Class encapsulating the atomic open fridge drawer task to pull the fridge drawer out.,Fully slide the top dishwasher rack {direction}.,Kitchen,atomic/kitchen_drawer.py
Open/close,doors,Open Microwave,OpenMicrowave,Class encapsulating the atomic manipulate door tasks.,Open the toaster oven door.,OpenDoor,atomic/kitchen_doors.py
Open/close,doors,Open Oven,OpenOven,Class encapsulating the atomic manipulate door tasks.,Open the toaster oven door.,OpenDropDownDoor,atomic/kitchen_doors.py
Open/close,stand mixer,Open Stand Mixer Head,OpenStandMixerHead,Class encapsulating the atomic stand mixer head tasks.,Open the stand mixer head.,Kitchen,atomic/kitchen_stand_mixer.py
Open/close,doors,Open Toaster Oven Door,OpenToasterOvenDoor,Class encapsulating the atomic toaster oven door tasks.,Open the toaster oven door.,Kitchen,atomic/kitchen_doors.py
Other,pick place,Pack Dessert,PackDessert,Simulates the task of adding dessert to a tupperware that already contains a cooked item. Steps: 1. Take the dessert item and add it to a tupperware that contains a cooked item. 2. Ensure both items are properly packed in the tupperware.,Pick the {obj_lang} from the counter and place it in the cabinet.,Kitchen,atomic/kitchen_pick_place.py
Pick and place,pick place,Pick Place Cabinet To Counter,PickPlaceCabinetToCounter,Class encapsulating the atomic cabinet to counter pick and place task,Pick the {obj_lang} from the counter and place it in the cabinet.,PickPlace,atomic/kitchen_pick_place.py
Pick and place,pick place,Pick Place Counter To Blender,PickPlaceCounterToBlender,Class encapsulating the atomic counter to blender pick and place task.,Pick the {obj_lang} from the counter and place it in the cabinet.,PickPlace,atomic/kitchen_pick_place.py
Pick and place,pick place,Pick Place Counter To Cabinet,PickPlaceCounterToCabinet,Class encapsulating the atomic counter to cabinet pick and place task,Pick the {obj_lang} from the counter and place it in the cabinet.,PickPlace,atomic/kitchen_pick_place.py
Pick and place,pick place,Pick Place Counter To Drawer,PickPlaceCounterToDrawer,Class encapsulating the atomic task of moving an item from the counter into the drawer.,Pick the {obj_lang} from the counter and place it in the cabinet.,PickPlace,atomic/kitchen_pick_place.py
Pick and place,pick place,Pick Place Counter To Microwave,PickPlaceCounterToMicrowave,Class encapsulating the atomic counter to microwave pick and place task,Pick the {obj_lang} from the counter and place it in the cabinet.,PickPlace,atomic/kitchen_pick_place.py
Pick and place,pick place,Pick Place Counter To Oven,PickPlaceCounterToOven,Class encapsulating the counter to oven pick and place atomic task,Pick the {obj_lang} from the counter and place it in the cabinet.,PickPlace,atomic/kitchen_pick_place.py
Pick and place,pick place,Pick Place Counter To Sink,PickPlaceCounterToSink,Class encapsulating the atomic counter to sink pick and place task,Pick the {obj_lang} from the counter and place it in the cabinet.,PickPlace,atomic/kitchen_pick_place.py
Pick and place,pick place,Pick Place Counter To Stand Mixer,PickPlaceCounterToStandMixer,Class encapsulating the task of placing food items in the stand mixer bowl.,Pick the {obj_lang} from the counter and place it in the cabinet.,PickPlace,atomic/kitchen_pick_place.py
Pick and place,pick place,Pick Place Counter To Stove,PickPlaceCounterToStove,Class encapsulating the atomic counter to stove pick and place task,Pick the {obj_lang} from the counter and place it in the cabinet.,PickPlace,atomic/kitchen_pick_place.py
Pick and place,pick place,Pick Place Counter To Toaster Oven,PickPlaceCounterToToasterOven,Class encapsulating the counter to toaster oven pick and place atomic task,Pick the {obj_lang} from the counter and place it in the cabinet.,PickPlace,atomic/kitchen_pick_place.py
Pick and place,pick place,Pick Place Drawer To Counter,PickPlaceDrawerToCounter,Class encapsulating the atomic task of moving an item from the drawer to the counter.,Pick the {obj_lang} from the counter and place it in the cabinet.,PickPlace,atomic/kitchen_pick_place.py
Pick and place,pick place,Pick Place Fridge Drawer To Shelf,PickPlaceFridgeDrawerToShelf,Class encapsulating the atomic task of moving an item from the fridge drawer to a fridge shelf.,Pick the {obj_lang} from the counter and place it in the cabinet.,PickPlace,atomic/kitchen_pick_place.py
Pick and place,pick place,Pick Place Fridge Shelf To Drawer,PickPlaceFridgeShelfToDrawer,Class encapsulating the atomic task of moving an item from a fridge shelf to the fridge drawer.,Pick the {obj_lang} from the counter and place it in the cabinet.,PickPlace,atomic/kitchen_pick_place.py
Pick and place,pick place,Pick Place Microwave To Counter,PickPlaceMicrowaveToCounter,Class encapsulating the atomic microwave to counter pick and place task,Pick the {obj_lang} from the counter and place it in the cabinet.,PickPlace,atomic/kitchen_pick_place.py
Pick and place,pick place,Pick Place Sink To Counter,PickPlaceSinkToCounter,Class encapsulating the atomic sink to counter pick and place task,Pick the {obj_lang} from the counter and place it in the cabinet.,PickPlace,atomic/kitchen_pick_place.py
Pick and place,pick place,Pick Place Stove To Counter,PickPlaceStoveToCounter,Class encapsulating the atomic stove to counter pick and place task,Pick the {obj_lang} from the counter and place it in the cabinet.,PickPlace,atomic/kitchen_pick_place.py
Pick and place,pick place,Pick Place Toaster Oven To Counter,PickPlaceToasterOvenToCounter,Class encapsulating the toaster oven to counter pick and place atomic task,Pick the {obj_lang} from the counter and place it in the cabinet.,PickPlace,atomic/kitchen_pick_place.py
Pick and place,pick place,Pick Place Toaster To Counter,PickPlaceToasterToCounter,Class encapsulating the toaster to counter pick and place atomic task,Pick the {obj_lang} from the counter and place it in the cabinet.,PickPlace,atomic/kitchen_pick_place.py
Set temperature,oven,Preheat Oven,PreheatOven,Class encapsulating the atomic oven preheating task.,Preheat the oven by turning the temperature knob.,Kitchen,atomic/kitchen_oven.py
Slide,drawer,Slide Dishwasher Rack,SlideDishwasherRack,Class encapsulating sliding dishwasher rack in or out atomic task.,Fully slide the top dishwasher rack {direction}.,Kitchen,atomic/kitchen_drawer.py
Slide,oven,Slide Oven Rack,SlideOvenRack,Atomic task for sliding an oven rack.,Preheat the oven by turning the temperature knob.,Kitchen,atomic/kitchen_oven.py
Slide,toaster oven,Slide Toaster Oven Rack,SlideToasterOvenRack,Class encapsulating the atomic task for sliding rack in or out of the toaster oven.,Turn on the toaster oven by setting the timer.,Kitchen,atomic/kitchen_toaster_oven.py
Press button/start,coffee,Start Coffee Machine,StartCoffeeMachine,Class encapsulating the coffee press button task. Press the button on the coffee machine to serve coffee.,Pick the {obj_lang} from the counter and place it under the coffee machine dispenser.,Kitchen,atomic/kitchen_coffee.py
Turn on/off,microwave,Turn Off Microwave,TurnOffMicrowave,Class encapsulating the atomic microwave press button tasks.,Press the start button on the microwave.,MicrowavePressButton,atomic/kitchen_microwave.py
Turn on/off,sink,Turn Off Sink Faucet,TurnOffSinkFaucet,Class encapsulating the atomic manipulate sink faucet tasks.,Turn the sink spout to the {self.behavior}.,ManipulateSinkFaucet,atomic/kitchen_sink.py
Turn on/off,stove,Turn Off Stove,TurnOffStove,Class encapsulating the atomic manipulate stove knob tasks.,Lower the heat of the kettle.,ManipulateStoveKnob,atomic/kitchen_stove.py
Turn on/off,blender,Turn On Blender,TurnOnBlender,Class encapsulating the atomic turn on blender task.,Open the blender by taking off the lid and placing it on the counter.,Kitchen,atomic/kitchen_blender.py
Turn on/off,electric kettle,Turn On Electric Kettle,TurnOnElectricKettle,Class encapsulating the atomic turn on electric kettle task.,Press down the lever to turn on the electric kettle.,Kitchen,atomic/kitchen_electric_kettle.py
Turn on/off,microwave,Turn On Microwave,TurnOnMicrowave,Class encapsulating the atomic microwave press button tasks.,Press the start button on the microwave.,MicrowavePressButton,atomic/kitchen_microwave.py
Turn on/off,sink,Turn On Sink Faucet,TurnOnSinkFaucet,Class encapsulating the atomic manipulate sink faucet tasks.,Turn the sink spout to the {self.behavior}.,ManipulateSinkFaucet,atomic/kitchen_sink.py
Turn on/off,stove,Turn On Stove,TurnOnStove,Class encapsulating the atomic manipulate stove knob tasks.,Lower the heat of the kettle.,ManipulateStoveKnob,atomic/kitchen_stove.py
Turn on/off,toaster,Turn On Toaster,TurnOnToaster,Atomic task for pushing toaster lever down to turn on.,Push down the lever of the toaster to turn it on.,Kitchen,atomic/kitchen_toaster.py
Turn on/off,toaster oven,Turn On Toaster Oven,TurnOnToasterOven,Class encapsulating atomic task for turning on the toaster oven by setting the timer.,Turn on the toaster oven by setting the timer.,Kitchen,atomic/kitchen_toaster_oven.py
Turn/twist,sink,Turn Sink Spout,TurnSinkSpout,Class encapsulating the atomic turn sink spout tasks.,Turn the sink spout to the {self.behavior}.,Kitchen,atomic/kitchen_sink.py
