suite,task_class,instruction
LIBERO-90,L90L2PickUpTheAlphabetSoupAndPutItInTheBasket,"Pick up the alphabet soup, and put it in the basket."
LIBERO-90,L90L2PickUpTheButterAndPutItInTheBasket,pick up the butter and put it in the basket.
LIBERO-90,L90L2PickUpTheMilkAndPutItInTheBasket,Pick the milk and place it in the basket.
LIBERO-90,L90L2PickUpTheOrangeJuiceAndPutItInTheBasket,"Pick up the orange juice, and put it in the basket."
LIBERO-90,L90L2PickUpTheTomatoSauceAndPutItInTheBasket,"Pick up the tomato sauce, and put it in the basket."
LIBERO-90,L90L3PickUpTheAlphabetSoupAndPutItInTheTray,put the black bowl on the plate.
LIBERO-90,L90L3PickUpTheButterAndPutItInTheTray,Pick up the butter and put it in the tray.
LIBERO-90,L90L3PickUpTheCreamCheeseAndPutItInTheTray,Pick up the cream cheese and put it in the tray.
LIBERO-90,L90L3PickUpTheKetchupAndPutItInTheTray,"Pick up the ketchup, and put it in the wooden_tray."
LIBERO-90,L90L3PickUpTheTomatoSauceAndPutItInTheTray,"Pick up the tomato_sauce, and put it in the wooden_tray."
LIBERO-90,L90L4PickUpTheBlackBowlOnTheLeftAndPutItInTheTray,pick up the black bowl on the left and put it in the tray.
LIBERO-90,L90L4PickUpTheChocolatePuddingAndPutItInTheTray,pick up the chocolate pudding and put it in the tray.
LIBERO-90,L90L4PickUpTheSaladDressingAndPutItInTheTray,Pick up the salad dressing and put it in the tray.
LIBERO-90,L90L4StackTheLeftBowlOnTheRightBowlAndPlaceThemInTheTray,stack the left bowl on the right bowl and place them in the tray.
LIBERO-90,L90L4StackTheRightBowlOnTheLeftBowlAndPlaceThemInTheTray,Stack the right bowl on the left bowl and place them in the tray.
LIBERO-90,L90L5PutTheRedMugOnTheLeftPlate,Put the red mug on the left plate.
LIBERO-90,L90L5PutTheRedMugOnTheRightPlate,Pick up the red mug and put it on the plate
LIBERO-90,L90L5PutTheWhiteMugOnTheLeftPlate,put the white mug on the left plate.
LIBERO-90,L90L5PutTheYellowAndWhiteMugOnTheRightPlate,pick up the yellow and white mug and place it to the right of the caddy.
LIBERO-90,L90L6PutTheChocolatePuddingToTheLeftOfThePlate,Put the chocolate pudding to the left of the plate.
LIBERO-90,L90L6PutTheChocolatePuddingToTheRightOfThePlate,Put the chocolate pudding to the right of the plate.
LIBERO-90,L90L6PutTheRedMugOnThePlate,Pick up the red mug and put it on the plate
LIBERO-90,L90L6PutTheWhiteMugOnThePlate,Put the white mug on the plate.
LIBERO-90,L90S1PickUpTheBookAndPlaceItInTheFrontCompartmentOfTheCaddy,Pick up the book and place it in the front compartment of the caddy.
LIBERO-90,L90S1PickUpTheBookAndPlaceItInTheLeftCompartmentOfTheCaddy,Pick up the book and place it in the left compartment of the caddy.
LIBERO-90,L90S1PickUpTheBookAndPlaceItInTheRightCompartmentOfTheCaddy,Pick up the book and place it in the right compartment of the caddy.
LIBERO-90,L90S1PickUpTheYellowAndWhiteMugAndPlaceItToTheRightOfTheCaddy,pick up the yellow and white mug and place it to the right of the caddy.
LIBERO-90,L90S2PickUpTheBookAndPlaceItInTheBackCompartmentOfTheCaddy,Pick up the book and place it in the back compartment of the caddy.
LIBERO-90,L90S2PickUpTheBookAndPlaceItInTheFrontCompartmentOfTheCaddy,Pick up the book and place it in the front compartment of the caddy.
LIBERO-90,L90S2PickUpTheBookAndPlaceItInTheLeftCompartmentOfTheCaddy,Pick up the book and place it in the left compartment of the caddy.
LIBERO-90,L90S2PickUpTheBookAndPlaceItInTheRightCompartmentOfTheCaddy,pick up the book and place it in the right compartment of the caddy.
LIBERO-90,L90S3PickUpTheBookAndPlaceItInTheFrontCompartmentOfTheCaddy,Pick up the book and place it in the front compartment of the caddy.
LIBERO-90,L90S3PickUpTheBookAndPlaceItInTheLeftCompartmentOfTheCaddy,pick up the book and place it in the left compartment of the caddy.
LIBERO-90,L90S3PickUpTheBookAndPlaceItInTheRightCompartmentOfTheCaddy,Pick up the book and place it in the right compartment of the caddy.
LIBERO-90,L90S3PickUpTheRedMugAndPlaceItToTheRightOfTheCaddy,pick up the red mug and place it to the right compartment of the caddy.
LIBERO-90,L90S3PickUpTheWhiteMugAndPlaceItToTheRightOfTheCaddy,Pick up the white mug and place it to the right compartment of the caddy.
LIBERO-90,L90S4PickUpTheBookInTheMiddleAndPlaceItOnTheCabinetShelf,pick up the book in the middle and place it on the cabinet shelf.
LIBERO-90,L90S4PickUpTheBookOnTheLeftAndPlaceItOnTopOfTheShelf,Pick up the book on the left and place it on top of the shelf.
LIBERO-90,L90S4PickUpTheBookOnTheRightAndPlaceItOnTheCabinetShelf,Pick up the book on the right and place it on the cabinet shelf.
LIBERO-90,L90S4PickUpTheBookOnTheRightAndPlaceItUnderTheCabinetShelf,pick up the book on the right and place it under the cabinet shelf.
Goal,LGOpenTheMiddleDrawerOfTheCabinet,Open the middle layer of the drawer.
Goal,LGOpenTheTopDrawerAndPutTheBowlInside,Open the top layer of the drawer and put the bowl inside.
Goal,LGOpenTopDrawerOfCabinet,Open the top drawer of the cabinet.
Goal,LGPushThePlateToTheFrontOfTheStove,Push the plate to the front of the stove.
Goal,LGPutTheBowlOnThePlate,Pick up the akita black bowl and put it on the plate.
Goal,LGPutTheBowlOnTheStove,Put the bowl on the stove.
Goal,LGPutTheBowlOnTopOfTheCabinet,Put the bowl on the top of the cabinet.
Goal,LGPutTheCreamCheeseInTheBowl,Pick up the cream cheese and put it in the bowl.
Goal,LGPutTheWineBottleOnTheRack,Put the wine bottle on the rack.
Goal,LGPutTheWineBottleOnTopOfTheCabinet,Put the wine bottle on the top of the drawer.
Goal,LGTurnOnTheStove,Turn on the stove.
Object,LOPickUpTheAlphabetSoupAndPlaceItInTheBasket,Pick the alphabet soup and place it in the basket.
Object,LOPickUpTheBbqSauceAndPlaceItInTheBasket,Pick the bbq sauce and place it in the basket.
Object,LOPickUpTheButterAndPlaceItInTheBasket,Pick the butter and place it in the basket.
Object,LOPickUpTheChocolatePuddingAndPlaceItInTheBasket,Pick the chocolate pudding and place it in the basket.
Object,LOPickUpTheKetchupAndPlaceItInTheBasket,Pick the ketchup and place it in the basket.
Object,LOPickUpTheMilkAndPlaceItInTheBasket,Pick the milk and place it in the basket.
Object,LOPickUpTheOrangeJuiceAndPlaceItInTheBasket,Pick the orange juice and place it in the basket.
Object,LOPickUpTheSaladDressingAndPlaceItInTheBasket,Pick the salad dressing and place it in the basket.
Object,LOPickUpTheTomatoSauceAndPlaceItInTheBasket,Pick the tomato sauce and place it in the basket.
Object,LOPutCreamCheeseInBasket,Pick the cream cheese and place it in the basket.
Spatial,LSPickUpBlackBowlBetweenPlateAndRamekinAndPlaceItOnPlate,Pick the akita black bowl between the plate and the ramekin and place it on the plate.
Spatial,LSPickUpBlackBowlInTopDrawerOfWoodenCabinetAndPlaceItOnPlate,Pick the akita black bowl in the top layer of the wooden cabinet and place it on the plate.
Spatial,LSPickUpTheBlackBowlFromTableCenterAndPlaceItOnThePlate,Pick the akita black bowl from table center and place it on the plate.
Spatial,LSPickUpTheBlackBowlNextToTheCookieBoxAndPlaceItOnThePlate,Pick the akita black bowl next to the cookies box and place it on the plate.
Spatial,LSPickUpTheBlackBowlNextToThePlateAndPlaceItOnThePlate,Pick the akita black bowl next to the plate and place it on the plate.
Spatial,LSPickUpTheBlackBowlNextToTheRamekinAndPlaceItOnThePlate,Pick the akita black bowl next to the ramekin and place it on the plate.
Spatial,LSPickUpTheBlackBowlOnTheCookieBoxAndPlaceItOnThePlate,Pick the akita black bowl on the cookies box and place it on the plate.
Spatial,LSPickUpTheBlackBowlOnTheRamekinAndPlaceItOnThePlate,Pick the akita black bowl on the ramekin and place it on the plate.
Spatial,LSPickUpTheBlackBowlOnTheStoveAndPlaceItOnThePlate,Pick the akita black bowl on the stove and place it on the plate.
Spatial,LSPickUpTheBlackBowlOnTheWoodenCabinetAndPlaceItOnThePlate,Pick the akita black bowl on the wooden cabinet and place it on the plate.
