family,suite,gym_id,task_class,task_name,language_instruction,instruction_is_templated,description,source_file
LIBERO,libero_90,Robocasa-Task-L90K10PutTheButterAtTheBackInTheTopDrawerOfTheCabinetAndCloseIt,L90K10PutTheButterAtTheBackInTheTopDrawerOfTheCabinetAndCloseIt,L90K10PutTheButterAtTheBackInTheTopDrawerOfTheCabinetAndCloseIt,put the butter at the back in the top drawer of the cabinet and close it.,no,,lightwheel_libero_tasks/libero_90/L90K10_put_the_butter_at_the_back_in_the_top_drawer_of_the_cabinet_and_close_it.py
LIBERO,libero_90,Robocasa-Task-L90K10PutTheButterAtTheFrontInTheTopDrawerOfTheCabinetAndCloseIt,L90K10PutTheButterAtTheFrontInTheTopDrawerOfTheCabinetAndCloseIt,L90K10PutTheButterAtTheFrontInTheTopDrawerOfTheCabinetAndCloseIt,Put the butter at the front in the top drawer of the cabinet and close it.,no,L90K10PutTheButterAtTheFrontInTheTopDrawerOfTheCabinetAndCloseIt: put the butter at the front in the top drawer of the cabinet and close it,lightwheel_libero_tasks/libero_90/L90K10_put_the_butter_at_the_front_in_the_top_drawer_of_the_cabinet_and_close_it.py
LIBERO,libero_90,Robocasa-Task-L90K10PutTheChocolatePuddingInTheTopDrawerOfTheCabinetAndCloseIt,L90K10PutTheChocolatePuddingInTheTopDrawerOfTheCabinetAndCloseIt,L90K10PutTheChocolatePuddingInTheTopDrawerOfTheCabinetAndCloseIt,Put the chocolate pudding in the top drawer of the cabinet and close it.,no,L90K10PutTheChocolatePuddingInTheTopDrawerOfTheCabinetAndCloseIt: put the chocolate pudding in the top drawer of the cabinet and close it,lightwheel_libero_tasks/libero_90/L90K10_put_the_chocolate_pudding_in_the_top_drawer_of_the_cabinet_and_close_it.py
LIBERO,libero_90,Robocasa-Task-L90K1OpenTheBottomDrawerOfTheCabinet,L90K1OpenTheBottomDrawerOfTheCabinet,L90K1OpenTheBottomDrawerOfTheCabinet,Open the bottom drawer of the cabinet.,no,,lightwheel_libero_tasks/libero_90/L90K1_open_the_bottom_drawer_of_the_cabinet.py
LIBERO,libero_90,Robocasa-Task-L90K1OpenTheTopDrawerOfTheCabinet,L90K1OpenTheTopDrawerOfTheCabinet,L90K1OpenTheTopDrawerOfTheCabinet,open the top drawer of the cabinet.,no,,lightwheel_libero_tasks/libero_90/L90K1_open_the_top_drawer_of_the_cabinet.py
LIBERO,libero_90,Robocasa-Task-L90K1OpenTheTopDrawerOfTheCabinetAndPutTheBowlInIt,L90K1OpenTheTopDrawerOfTheCabinetAndPutTheBowlInIt,L90K1OpenTheTopDrawerOfTheCabinetAndPutTheBowlInIt,Open the top drawer of the cabinet and put the bowl in it.,no,L90K1OpenTheTopDrawerOfTheCabinetAndPutTheBowlInIt: open the top drawer of the cabinet and put the bowl in it,lightwheel_libero_tasks/libero_90/L90K1_open_the_top_drawer_of_the_cabinet_and_put_the_bowl_in_it.py
LIBERO,libero_90,Robocasa-Task-L90K1PutTheBlackBowlOnThePlate,L90K1PutTheBlackBowlOnThePlate,L90K1PutTheBlackBowlOnThePlate,put the black bowl on the plate.,no,,lightwheel_libero_tasks/libero_90/L90K1_put_the_black_bowl_on_the_plate.py
LIBERO,libero_90,Robocasa-Task-L90K1PutTheBlackBowlOnTopOfTheCabinet,L90K1PutTheBlackBowlOnTopOfTheCabinet,L90K1PutTheBlackBowlOnTopOfTheCabinet,Put the black bowl on top of the cabinet.,no,,lightwheel_libero_tasks/libero_90/L90K1_put_the_black_bowl_on_top_of_the_cabinet.py
LIBERO,libero_90,Robocasa-Task-L90K2OpenTheTopDrawerOfTheCabinet,L90K2OpenTheTopDrawerOfTheCabinet,L90K2OpenTheTopDrawerOfTheCabinet,Open the top drawer of the cabinet.,no,,lightwheel_libero_tasks/libero_90/L90K2_open_the_top_drawer_of_the_cabinet.py
LIBERO,libero_90,Robocasa-Task-L90K2PutTheBlackBowlAtTheBackOnThePlate,L90K2PutTheBlackBowlAtTheBackOnThePlate,L90K2PutTheBlackBowlAtTheBackOnThePlate,Put the black bowl at the front on the plate.,no,,lightwheel_libero_tasks/libero_90/L90K2_put_the_black_bowl_at_the_back_on_the_plate.py
LIBERO,libero_90,Robocasa-Task-L90K2PutTheBlackBowlAtTheFrontOnThePlate,L90K2PutTheBlackBowlAtTheFrontOnThePlate,L90K2PutTheBlackBowlAtTheFrontOnThePlate,Pick up the black bowl and put it in the front on the plate.,no,L90K2PutTheBlackBowlAtTheFrontOnThePlate: put the black bowl in the front on the plate,lightwheel_libero_tasks/libero_90/L90K2_put_the_black_bowl_at_the_front_on_the_plate.py
LIBERO,libero_90,Robocasa-Task-L90K2PutTheMiddleBlackBowlOnThePlate,L90K2PutTheMiddleBlackBowlOnThePlate,L90K2PutTheMiddleBlackBowlOnThePlate,Put the black bowl in the middle on the plate.,no,L90K2PutTheMiddleBlackBowlOnThePlate: put the black bowl in the middle on the plate,lightwheel_libero_tasks/libero_90/L90K2_put_the_middle_black_bowl_on_the_plate.py
LIBERO,libero_90,Robocasa-Task-L90K2PutTheMiddleBlackBowlOnTopOfTheCabinet,L90K2PutTheMiddleBlackBowlOnTopOfTheCabinet,L90K2PutTheMiddleBlackBowlOnTopOfTheCabinet,put the black bowl on the plate.,no,,lightwheel_libero_tasks/libero_90/L90K2_put_the_middle_black_bowl_on_top_of_the_cabinet.py
LIBERO,libero_90,Robocasa-Task-L90K2StackTheBlackBowlAtTheFrontOnTheBlackBowlInTheMiddle,L90K2StackTheBlackBowlAtTheFrontOnTheBlackBowlInTheMiddle,L90K2StackTheBlackBowlAtTheFrontOnTheBlackBowlInTheMiddle,stack the black bowl at the front on the black bowl in the middle.,no,,lightwheel_libero_tasks/libero_90/L90K2_stack_the_black_bowl_at_the_front_on_the_black_bowl_in_the_middle.py
LIBERO,libero_90,Robocasa-Task-L90K2StackTheMiddleBlackBowlOnTheBackBlackBowl,L90K2StackTheMiddleBlackBowlOnTheBackBlackBowl,L90K2StackTheMiddleBlackBowlOnTheBackBlackBowl,Stack the black bowl in the middle on the black bowl at the back.,no,L90K2StackTheMiddleBlackBowlOnTheBackBlackBowl: put the black bowl in the middle on the front bowl,lightwheel_libero_tasks/libero_90/L90K2_stack_the_middle_black_bowl_on_the_back_black_bowl.py
LIBERO,libero_90,Robocasa-Task-L90K3PutTheFryingPanOnTheStove,L90K3PutTheFryingPanOnTheStove,L90K3PutTheFryingPanOnTheStove,Put the frying pan on the stove.,no,,lightwheel_libero_tasks/libero_90/L90K3_put_the_frying_pan_on_the_stove.py
LIBERO,libero_90,Robocasa-Task-L90K3PutTheMokaPotOnTheStove,L90K3PutTheMokaPotOnTheStove,L90K3PutTheMokaPotOnTheStove,Put the moka pot on the stove.,no,,lightwheel_libero_tasks/libero_90/L90K3_put_the_moka_pot_on_the_stove.py
LIBERO,libero_90,Robocasa-Task-L90K3TurnOnTheStove,L90K3TurnOnTheStove,L90K3TurnOnTheStove,Turn on the stove.,no,,lightwheel_libero_tasks/libero_90/L90K3_turn_on_the_stove.py
LIBERO,libero_90,Robocasa-Task-L90K3TurnOnTheStoveAndPutTheFryingPanOnIt,L90K3TurnOnTheStoveAndPutTheFryingPanOnIt,L90K3TurnOnTheStoveAndPutTheFryingPanOnIt,Turn on the stove and put the frying pan on it.,no,,lightwheel_libero_tasks/libero_90/L90K3_turn_on_the_stove_and_put_the_frying_pan_on_it.py
LIBERO,libero_90,Robocasa-Task-L90K4CloseTheBottomDrawerOfTheCabinet,L90K4CloseTheBottomDrawerOfTheCabinet,L90K4CloseTheBottomDrawerOfTheCabinet,Close the bottom drawer of the cabinet.,no,L90K4CloseTheBottomDrawerOfTheCabinet: close the bottom drawer of the cabinet,lightwheel_libero_tasks/libero_90/L90K4_close_the_bottom_drawer_of_the_cabinet.py
LIBERO,libero_90,Robocasa-Task-L90K4CloseTheBottomDrawerOfTheCabinetAndOpenTheTopDrawer,L90K4CloseTheBottomDrawerOfTheCabinetAndOpenTheTopDrawer,L90K4CloseTheBottomDrawerOfTheCabinetAndOpenTheTopDrawer,Close the bottom drawer of the cabinet and open the top drawer.,no,,lightwheel_libero_tasks/libero_90/L90K4_close_the_bottom_drawer_of_the_cabinet_and_open_the_top_drawer.py
LIBERO,libero_90,Robocasa-Task-L90K4PutTheBlackBowlInTheBottomDrawerOfTheCabinet,L90K4PutTheBlackBowlInTheBottomDrawerOfTheCabinet,L90K4PutTheBlackBowlInTheBottomDrawerOfTheCabinet,Put the black bowl in the bottom drawer of the cabinet.,no,,lightwheel_libero_tasks/libero_90/L90K4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet.py
LIBERO,libero_90,Robocasa-Task-L90K4PutTheBlackBowlOnTopOfTheCabinet,L90K4PutTheBlackBowlOnTopOfTheCabinet,L90K4PutTheBlackBowlOnTopOfTheCabinet,Put the black bowl on top of the cabinet.,no,,lightwheel_libero_tasks/libero_90/L90K4_put_the_black_bowl_on_top_of_the_cabinet.py
LIBERO,libero_90,Robocasa-Task-L90K4PutTheWineBottleInTheBottomDrawerOfTheCabinet,L90K4PutTheWineBottleInTheBottomDrawerOfTheCabinet,L90K4PutTheWineBottleInTheBottomDrawerOfTheCabinet,Put the wine bottle in the bottom drawer of the cabinet.,no,,lightwheel_libero_tasks/libero_90/L90K4_put_the_wine_bottle_in_the_bottom_drawer_of_the_cabinet.py
LIBERO,libero_90,Robocasa-Task-L90K4PutTheWineBottleOnTheWineRack,L90K4PutTheWineBottleOnTheWineRack,L90K4PutTheWineBottleOnTheWineRack,put the wine bottle on the wine rack.,no,,lightwheel_libero_tasks/libero_90/L90K4_put_the_wine_bottle_on_the_wine_rack.py
LIBERO,libero_90,Robocasa-Task-L90K5CloseTheTopDrawerOfTheCabinet,L90K5CloseTheTopDrawerOfTheCabinet,L90K5CloseTheTopDrawerOfTheCabinet,Close the top drawer of the cabinet.,no,L90K5CloseTheTopDrawerOfTheCabinet: close the top drawer of the cabinet,lightwheel_libero_tasks/libero_90/L90K5_close_the_top_drawer_of_the_cabinet.py
LIBERO,libero_90,Robocasa-Task-L90K5PutTheBlackBowlInTheTopDrawerOfTheCabinet,L90K5PutTheBlackBowlInTheTopDrawerOfTheCabinet,L90K5PutTheBlackBowlInTheTopDrawerOfTheCabinet,Put the black bowl in the top drawer of the cabinet.,no,L90K5PutTheBlackBowlInTheTopDrawerOfTheCabinet: put the black bowl in the top drawer of the cabinet,lightwheel_libero_tasks/libero_90/L90K5_put_the_black_bowl_in_the_top_drawer_of_the_cabinet.py
LIBERO,libero_90,Robocasa-Task-L90K5PutTheBlackBowlOnThePlate,L90K5PutTheBlackBowlOnThePlate,L90K5PutTheBlackBowlOnThePlate,Put the black bowl on the plate.,no,L90K5PutTheBlackBowlOnThePlate: put the black bowl on the plate,lightwheel_libero_tasks/libero_90/L90K5_put_the_black_bowl_on_the_plate.py
LIBERO,libero_90,Robocasa-Task-L90K5PutTheBlackBowlOnTopOfTheCabinet,L90K5PutTheBlackBowlOnTopOfTheCabinet,L90K5PutTheBlackBowlOnTopOfTheCabinet,Put the black bowl on top of the cabinet.,no,,lightwheel_libero_tasks/libero_90/L90K5_put_the_black_bowl_on_top_of_the_cabinet.py
LIBERO,libero_90,Robocasa-Task-L90K5PutTheKetchupInTheTopDrawerOfTheCabinet,L90K5PutTheKetchupInTheTopDrawerOfTheCabinet,L90K5PutTheKetchupInTheTopDrawerOfTheCabinet,Put the ketchup in the top drawer of the cabinet.,no,,lightwheel_libero_tasks/libero_90/L90K5_put_the_ketchup_in_the_top_drawer_of_the_cabinet.py
LIBERO,libero_90,Robocasa-Task-L90K6CloseTheMicrowave,L90K6CloseTheMicrowave,L90K6CloseTheMicrowave,Close the microwave.,no,,lightwheel_libero_tasks/libero_90/L90K6_close_the_microwave.py
LIBERO,libero_90,Robocasa-Task-L90K6PutTheYellowAndWhiteMugToTheFrontOfTheWhiteMug,L90K6PutTheYellowAndWhiteMugToTheFrontOfTheWhiteMug,L90K6PutTheYellowAndWhiteMugToTheFrontOfTheWhiteMug,Put the yellow and white mug to the front of the white mug.,no,L90K6PutTheYellowAndWhiteMugToTheFrontOfTheWhiteMug: put the yellow and white mug to the front of the white mug,lightwheel_libero_tasks/libero_90/L90K6_put_the_yellow_and_white_mug_to_the_front_of_the_white_mug.py
LIBERO,libero_90,Robocasa-Task-L90K7OpenTheMicrowave,L90K7OpenTheMicrowave,L90K7OpenTheMicrowave,Open the microwave.,no,,lightwheel_libero_tasks/libero_90/L90K7_open_the_microwave.py
LIBERO,libero_90,Robocasa-Task-L90K7PutTheWhiteBowlOnThePlate,L90K7PutTheWhiteBowlOnThePlate,L90K7PutTheWhiteBowlOnThePlate,Pick up the white bowl and put it on the plate.,no,L90K7PutTheWhiteBowlOnThePlate: put the white bowl on the plate,lightwheel_libero_tasks/libero_90/L90K7_put_the_white_bowl_on_the_plate.py
LIBERO,libero_90,Robocasa-Task-L90K7PutTheWhiteBowlToTheRightOfThePlate,L90K7PutTheWhiteBowlToTheRightOfThePlate,L90K7PutTheWhiteBowlToTheRightOfThePlate,Put the white bowl to the right of the plate.,no,,lightwheel_libero_tasks/libero_90/L90K7_put_the_white_bowl_to_the_right_of_the_plate.py
LIBERO,libero_90,Robocasa-Task-L90K8PutTheRightMokaPotOnTheStove,L90K8PutTheRightMokaPotOnTheStove,L90K8PutTheRightMokaPotOnTheStove,Put the right moka pot on the stove.,no,,lightwheel_libero_tasks/libero_90/L90K8_put_the_right_moka_pot_on_the_stove.py
LIBERO,libero_90,Robocasa-Task-L90K8TurnOffTheStove,L90K8TurnOffTheStove,L90K8TurnOffTheStove,Turn off the stove.,no,,lightwheel_libero_tasks/libero_90/L90K8_turn_off_the_stove.py
LIBERO,libero_90,Robocasa-Task-L90K9PutTheFryingPanOnTheCabinetShelf,L90K9PutTheFryingPanOnTheCabinetShelf,L90K9PutTheFryingPanOnTheCabinetShelf,Put the frying pan on the cabinet shelf.,no,,lightwheel_libero_tasks/libero_90/L90K9_put_the_frying_pan_on_the_cabinet_shelf.py
LIBERO,libero_90,Robocasa-Task-L90K9PutTheFryingPanOnTopOfTheCabinet,L90K9PutTheFryingPanOnTopOfTheCabinet,L90K9PutTheFryingPanOnTopOfTheCabinet,put the frying pan on top of the cabinet.,no,,lightwheel_libero_tasks/libero_90/L90K9_put_the_frying_pan_on_top_of_the_cabinet.py
LIBERO,libero_90,Robocasa-Task-L90K9PutTheFryingPanUnderTheCabinetShelf,L90K9PutTheFryingPanUnderTheCabinetShelf,L90K9PutTheFryingPanUnderTheCabinetShelf,Put the frying pan under the cabinet shelf.,no,,lightwheel_libero_tasks/libero_90/L90K9_put_the_frying_pan_under_the_cabinet_shelf.py
LIBERO,libero_90,Robocasa-Task-L90K9PutTheWhiteBowlOnTopOfTheCabinet,L90K9PutTheWhiteBowlOnTopOfTheCabinet,L90K9PutTheWhiteBowlOnTopOfTheCabinet,Put the white bowl on top of the cabinet,no,,lightwheel_libero_tasks/libero_90/L90K9_put_the_white_bowl_on_top_of_the_cabinet.py
LIBERO,libero_90,Robocasa-Task-L90K9TurnOnTheStove,L90K9TurnOnTheStove,L90K9TurnOnTheStove,Turn on the stove.,no,,lightwheel_libero_tasks/libero_90/L90K9_turn_on_the_stove.py
LIBERO,libero_90,Robocasa-Task-L90K9TurnOnTheStoveAndPutTheFryingPanOnIt,L90K9TurnOnTheStoveAndPutTheFryingPanOnIt,L90K9TurnOnTheStoveAndPutTheFryingPanOnIt,put the frying pan on top of the cabinet.,no,,lightwheel_libero_tasks/libero_90/L90K9_turn_on_the_stove_and_put_the_frying_pan_on_it.py
LIBERO,libero_90,Robocasa-Task-L90L1PickUpTheAlphabetSoupAndPutItInTheBasket,L90L1PickUpTheAlphabetSoupAndPutItInTheBasket,L90L1PickUpTheAlphabetSoupAndPutItInTheBasket,put the black bowl on the plate.,no,,lightwheel_libero_tasks/libero_90/L90L1_pick_up_the_alphabet_soup_and_put_it_in_the_basket.py
LIBERO,libero_90,Robocasa-Task-L90L1PickUpTheCreamCheeseBoxAndPutItInTheBasket,L90L1PickUpTheCreamCheeseBoxAndPutItInTheBasket,L90L1PickUpTheCreamCheeseBoxAndPutItInTheBasket,"Pick up the cream cheese box, and put it in the basket.",no,L90L1PickUpTheCreamCheeseBoxAndPutItInTheBasket: pick up the cream cheese box and put it in the basket,lightwheel_libero_tasks/libero_90/L90L1_pick_up_the_cream_cheese_box_and_put_it_in_the_basket.py
LIBERO,libero_90,Robocasa-Task-L90L1PickUpTheKetchupAndPutItInTheBasket,L90L1PickUpTheKetchupAndPutItInTheBasket,L90L1PickUpTheKetchupAndPutItInTheBasket,"Pick up the ketchup, and put it in the basket.",no,L90L1PickUpTheKetchupAndPutItInTheBasket: pick up the ketchup and put it in the basket,lightwheel_libero_tasks/libero_90/L90L1_pick_up_the_ketchup_and_put_it_in_the_basket.py
LIBERO,libero_90,Robocasa-Task-L90L1PickUpTheTomatoSauceAndPutItInTheBasket,L90L1PickUpTheTomatoSauceAndPutItInTheBasket,L90L1PickUpTheTomatoSauceAndPutItInTheBasket,"Pick up the tomato sauce, and put it in the basket.",no,L90L1PickUpTheTomatoSauceAndPutItInTheBasket: pick up the tomato sauce and put it in the basket (Scene1 with limited objects),lightwheel_libero_tasks/libero_90/L90L1_pick_up_the_tomato_sauce_and_put_it_in_the_basket.py
LIBERO,libero_90,Robocasa-Task-L90L2PickUpTheAlphabetSoupAndPutItInTheBasket,L90L2PickUpTheAlphabetSoupAndPutItInTheBasket,L90L2PickUpTheAlphabetSoupAndPutItInTheBasket,"Pick up the alphabet soup, and put it in the basket.",no,L90L2PickUpTheAlphabetSoupAndPutItInTheBasket: pick up the alphabet soup and put it in the basket,lightwheel_libero_tasks/libero_90/L90L2_pick_up_the_alphabet_soup_and_put_it_in_the_basket.py
LIBERO,libero_90,Robocasa-Task-L90L2PickUpTheButterAndPutItInTheBasket,L90L2PickUpTheButterAndPutItInTheBasket,L90 L2 Pick Up The Butter And Put It In The Basket,pick up the butter and put it in the basket.,no,,lightwheel_libero_tasks/libero_90/L90L2_pick_up_the_butter_and_put_it_in_the_basket.py
LIBERO,libero_90,Robocasa-Task-L90L2PickUpTheMilkAndPutItInTheBasket,L90L2PickUpTheMilkAndPutItInTheBasket,L90 L2 Pick Up The Milk And Put It In The Basket,Pick the milk and place it in the basket.,no,,lightwheel_libero_tasks/libero_90/L90L2_pick_up_the_milk_and_put_it_in_the_basket.py
LIBERO,libero_90,Robocasa-Task-L90L2PickUpTheOrangeJuiceAndPutItInTheBasket,L90L2PickUpTheOrangeJuiceAndPutItInTheBasket,L90L2PickUpTheOrangeJuiceAndPutItInTheBasket,"Pick up the orange juice, and put it in the basket.",no,L90L2PickUpTheOrangeJuiceAndPutItInTheBasket: pick up the orange juice and put it in the basket,lightwheel_libero_tasks/libero_90/L90L2_pick_up_the_orange_juice_and_put_it_in_the_basket.py
LIBERO,libero_90,Robocasa-Task-L90L2PickUpTheTomatoSauceAndPutItInTheBasket,L90L2PickUpTheTomatoSauceAndPutItInTheBasket,L90L2PickUpTheTomatoSauceAndPutItInTheBasket,"Pick up the tomato sauce, and put it in the basket.",no,L90L2PickUpTheTomatoSauceAndPutItInTheBasket: pick up the tomato sauce and put it in the basket,lightwheel_libero_tasks/libero_90/L90L2_pick_up_the_tomato_sauce_and_put_it_in_the_basket.py
LIBERO,libero_90,Robocasa-Task-L90L3PickUpTheAlphabetSoupAndPutItInTheTray,L90L3PickUpTheAlphabetSoupAndPutItInTheTray,L90L3PickUpTheAlphabetSoupAndPutItInTheTray,put the black bowl on the plate.,no,,lightwheel_libero_tasks/libero_90/L90L3_pick_up_the_alphabet_soup_and_put_it_in_the_tray.py
LIBERO,libero_90,Robocasa-Task-L90L3PickUpTheButterAndPutItInTheTray,L90L3PickUpTheButterAndPutItInTheTray,L90L3PickUpTheButterAndPutItInTheTray,Pick up the butter and put it in the tray.,no,,lightwheel_libero_tasks/libero_90/L90L3_pick_up_the_butter_and_put_it_in_the_tray.py
LIBERO,libero_90,Robocasa-Task-L90L3PickUpTheCreamCheeseAndPutItInTheTray,L90L3PickUpTheCreamCheeseAndPutItInTheTray,L90L3PickUpTheCreamCheeseAndPutItInTheTray,Pick up the cream cheese and put it in the tray.,no,,lightwheel_libero_tasks/libero_90/L90L3_pick_up_the_cream_cheese_and_put_it_in_the_tray.py
LIBERO,libero_90,Robocasa-Task-L90L3PickUpTheKetchupAndPutItInTheTray,L90L3PickUpTheKetchupAndPutItInTheTray,L90L3PickUpTheKetchupAndPutItInTheTray,"Pick up the ketchup, and put it in the wooden_tray.",no,L90L3PickUpTheKetchupAndPutItInTheTray: pick up the ketchup and put it in the wooden_tray,lightwheel_libero_tasks/libero_90/L90L3_pick_up_the_ketchup_and_put_it_in_the_tray.py
LIBERO,libero_90,Robocasa-Task-L90L3PickUpTheTomatoSauceAndPutItInTheTray,L90L3PickUpTheTomatoSauceAndPutItInTheTray,L90L3PickUpTheTomatoSauceAndPutItInTheTray,"Pick up the tomato_sauce, and put it in the wooden_tray.",no,L90L3PickUpTheTomatoSauceAndPutItInTheTray: pick up the tomato_sauce and put it in the wooden_tray,lightwheel_libero_tasks/libero_90/L90L3_pick_up_the_tomato_sauce_and_put_it_in_the_tray.py
LIBERO,libero_90,Robocasa-Task-L90L4PickUpTheBlackBowlOnTheLeftAndPutItInTheTray,L90L4PickUpTheBlackBowlOnTheLeftAndPutItInTheTray,L90L4PickUpTheBlackBowlOnTheLeftAndPutItInTheTray,pick up the black bowl on the left and put it in the tray.,no,,lightwheel_libero_tasks/libero_90/L90L4_pick_up_the_black_bowl_on_the_left_and_put_it_in_the_tray.py
